minorityvote = 133/4/47/8 A-57-PV.77 pg028-bk02 2002-12-18 Draft resolution XXI was adopted by 133 votes to 4, with 47 abstentions ( resolution 57/223 ).
minorityvote = 88/5/70/22 A-49-PV.94 pg018-bk06 1994-12-23 Draft resolution IV was adopted by 88 votes to 5, with 70 abstentions ( resolution 49/182 ).
minorityvote = 126/5/30/30 A-58-PV.79 pg008-bk05 2003-12-23 Draft resolution VII was adopted by 126 votes to 5, with 30 abstentions ( resolution 58/244 ).
minorityvote = 95/5/46/46 A-61-PV.84 pg025-bk04 2006-12-22 The fourth preambular paragraph and operative paragraphs 4, 5 and 21 were retained by 95 votes to 5, with 46 abstentions. 
minorityvote = 82/5/50/55 A-61-PV.92 pg003-bk04 2007-04-02 The fourth preambular paragraph and operative paragraphs 4, 5 and 20 were retained by 82 votes to 5, with 50 abstentions. 
minorityvote = 128/6/41/16 A-58-PV.71 pg016-bk04 2003-12-08 The twentieth preambular paragraph of draft resolution XVI was retained by 128 votes to 6, with 41 abstentions.
minorityvote = 156/6/9/20 A-60-PV.60 pg004-bk02 2005-12-01 Draft resolution  A/60/L.31  was adopted by 156 votes to 6, with 9 abstentions ( resolution 60/39 ).
minorityvote = 110/6/61/14 A-60-PV.64 pg016-bk02 2005-12-16 Draft resolution XV was adopted by 110 votes to 6, with 61 abstentions ( resolution 60/164 ).
minorityvote = 156/6/8/21 A-60-PV.68 pg004-bk08 2005-12-22 The draft resolution was adopted by 156 votes to 6, with 8 abstentions ( resolution 60/183 ).
minorityvote = 99/6/49/38 A-60-PV.92 pg011-bk03 2006-06-30 The fourth preambular paragraph and operative paragraphs 4, 5 and 17 were retained by 99 votes to 6, with 49 abstentions.
ambassador = A-52-PV.76 pg003-bk01 1997-12-18 Miss Patterson
ambassador = A-52-PV.82 pg010-bk05 1998-03-31 Mr. Armitage
ambassador = A-53-PV.43 pg018-bk06 1998-10-26 Mr. Armitage
ambassador = A-53-PV.103 pg003-bk01 1999-06-29 Mr. Armitage
ambassador = S-PV-5082 pg024-bk02 2004-11-19 Mr. Atkin
ambassador = A-59-PV.107 pg030-bk02 2005-06-27 Mr. Billson
ambassador = A-56-PV.72 pg013-bk02 2001-12-03 Mr. Blazey
ambassador = S-PV-4589-Resu.1 pg005-bk02 2002-07-25 Mr. Blazey
ambassador = S-PV-4646-Resu.1 pg005-bk02 2002-11-14 Mr. Blazey
ambassador = A-57-PV.66 pg006-bk01 2002-12-03 Mr. Blazey
ambassador = A-58-PV.64 pg008-bk01 2003-11-24 Mr. Bliss
ambassador = A-54-PV.50 pg021-bk04 1999-11-09 Mr. Blumenthal
ambassador = A-49-PV.86 pg012-bk01 1994-12-12 Mr. Braithwaite
ambassador = A-57-PV.45 pg022-bk01 2002-11-08 Mr. Brereton
ambassador = A-49-PV.32 pg011-bk01 1994-10-14 Mr. Butler
ambassador = A-49-PV.34 pg016-bk03 1994-10-17 Mr. Butler
ambassador = A-49-PV.47 pg014-bk01 1994-10-27 Mr. Butler
ambassador = A-49-PV.49 pg015-bk04 1994-11-01 Mr. Butler
ambassador = S-PV-3449 pg021-bk02 1994-11-04 Mr. Butler
ambassador = A-49-PV.52 pg015-bk01 1994-11-07 Mr. Butler
ambassador = A-49-PV.52 pg016-bk01 1994-11-07 Mr. Butler
ambassador = A-49-PV.55 pg026-bk02 1994-11-09 Mr. Butler
ambassador = S-PV-3455 pg005-bk02 1994-11-10 Mr. Butler
ambassador = A-49-PV.62 pg006-bk01 1994-11-21 Mr. Butler
ambassador = A-49-PV.65 pg006-bk02 1994-11-23 Mr. Butler
ambassador = A-49-PV.73 pg016-bk01 1994-12-01 Mr. Butler
ambassador = A-49-PV.75 pg010-bk01 1994-12-05 Mr. Butler
ambassador = S-PV-3492-Resu.2 pg011-bk02 1995-01-19 Mr. Butler
ambassador = S-PV-3536-Resu.1 pg011-bk04 1995-05-15 Mr. Butler
ambassador = A-50-PV.40 pg068-bk05 1995-10-24 Mr. Butler
ambassador = A-50-PV.45 pg006-bk02 1995-10-31 Mr. Butler
ambassador = A-50-PV.47 pg005-bk01 1995-11-01 Mr. Butler
ambassador = A-50-PV.48 pg020-bk04 1995-11-02 Mr. Butler
ambassador = A-50-PV.57 pg021-bk01 1995-11-13 Mr. Butler
ambassador = A-50-PV.64 pg018-bk02 1995-11-17 Mr. Butler
ambassador = A-50-PV.77 pg012-bk01 1995-12-01 Mr. Butler
ambassador = A-50-PV.77 pg013-bk02 1995-12-01 Mr. Butler
ambassador = A-50-PV.83 pg022-bk01 1995-12-07 Mr. Butler
ambassador = A-50-PV.116 pg006-bk01 1996-04-25 Mr. Butler
ambassador = A-50-PV.123 pg002-bk04 1996-09-09 Mr. Butler
ambassador = A-51-PV.49 pg003-bk01 1996-11-01 Mr. Butler
ambassador = A-51-PV.71 pg018-bk01 1996-12-03 Mr. Butler
ambassador = A-51-PV.92 pg003-bk01 1997-03-12 Mr. Butler
ambassador = A-51-PV.43 pg014-bk01 1996-10-29 Mr. Campbell
ambassador = A-61-PV.52 pg015-bk01 2006-11-13 Mr. Campbell
ambassador = A-59-PV.67 pg030-bk01 2004-12-06 Mr. Choi
ambassador = A-59-PV.70 pg003-bk02 2004-12-10 Mr. Choi
ambassador = A-59-PV.113 pg007-bk06 2005-07-14 Mr. Choi
ambassador = A-52-PV.39 pg004-bk01 1997-10-29 Mr. Crighton
ambassador = A-52-PV.48 pg013-bk04 1997-11-12 Mr. Crighton
ambassador = A-53-PV.37 pg018-bk02 1998-10-14 Mr. Crighton
ambassador = A-53-PV.59 pg007-bk01 1998-11-16 Mr. Crighton
ambassador = A-53-PV.69 pg007-bk01 1998-11-24 Mr. Crighton
ambassador = A-53-PV.76 pg008-bk01 1998-12-02 Mr. Crighton
ambassador = A-53-PV.76 pg008-bk03 1998-12-02 Mr. Crighton
ambassador = S-PV-3954-Resu.1 pg023-bk02 1998-12-23 Mr. Crighton
ambassador = S-PV-3980 pg006-bk02 1999-02-22 Mr. Crighton
ambassador = S-PV-4367 pg014-bk03 2001-09-10 Mr. Dauth
ambassador = A-56-PV.10 pg018-bk01 2001-09-25 Mr. Dauth
ambassador = A-56-PV.15 pg009-bk01 2001-10-02 Mr. Dauth
ambassador = A-56-PV.30 pg018-bk01 2001-10-22 Mr. Dauth
ambassador = S-PV-4403-Resu.1 pg010-bk02 2001-10-31 Mr. Dauth
ambassador = S-PV-4414-Resu.1 pg019-bk02 2001-11-13 Mr. Dauth
ambassador = A-56-PV.57 pg003-bk02 2001-11-16 Mr. Dauth
ambassador = A-56-PV.71 pg019-bk01 2001-11-30 Mr. Dauth
ambassador = A-56-PV.86 pg002-bk03 2001-12-14 Mr. Dauth
ambassador = A-56-PV.86 pg003-bk03 2001-12-14 Mr. Dauth
ambassador = S-PV-4478-Resu.1 pg003-bk02 2002-02-27 Mr. Dauth
ambassador = S-PV-4497 pg031-bk02 2002-03-26 Mr. Dauth
ambassador = S-PV-4522 pg031-bk02 2002-04-26 Mr. Dauth
ambassador = S-PV-4537 pg003-bk02 2002-05-20 Mr. Dauth
ambassador = S-PV-4538 pg027-bk02 2002-05-22 Mr. Dauth
ambassador = A-57-PV.20 pg006-bk02 2002-09-27 Mr. Dauth
ambassador = S-PV-4618-Resu.1 pg003-bk03 2002-10-04 Mr. Dauth
ambassador = A-57-PV.30 pg018-bk01 2002-10-15 Mr. Dauth
ambassador = S-PV-4625-Resu.1 pg009-bk02 2002-10-16 Mr. Dauth
ambassador = A-57-PV.46 pg021-bk01 2002-11-11 Mr. Dauth
ambassador = S-PV-4647 pg015-bk02 2002-11-21 Mr. Dauth
ambassador = A-57-PV.74 pg009-bk01 2002-12-12 Mr. Dauth
ambassador = A-57-PV.79 pg015-bk01 2002-12-20 Mr. Dauth
ambassador = S-PV-4709 pg018-bk02 2003-02-18 Mr. Dauth
ambassador = S-PV-4710 pg005-bk02 2003-02-20 Mr. Dauth
ambassador = S-PV-4715 pg020-bk02 2003-03-10 Mr. Dauth
ambassador = S-PV-4717 pg018-bk02 2003-03-11 Mr. Dauth
ambassador = S-PV-4726 pg026-bk02 2003-03-26 Mr. Dauth
ambassador = S-PV-4728 pg018-bk04 2003-03-28 Mr. Dauth
ambassador = S-PV-4734-Resu.1 pg009-bk02 2003-04-04 Mr. Dauth
ambassador = S-PV-4744 pg020-bk02 2003-04-28 Mr. Dauth
ambassador = S-PV-4798 pg030-bk02 2003-07-29 Mr. Dauth
ambassador = S-PV-4805 pg017-bk02 2003-08-06 Mr. Dauth
ambassador = S-PV-4824-Resu.1 pg013-bk02 2003-09-15 Mr. Dauth
ambassador = S-PV-4835 pg023-bk02 2003-09-30 Mr. Dauth
ambassador = A-58-PV.24 pg027-bk02 2003-10-06 Mr. Dauth
ambassador = S-PV-4843 pg023-bk02 2003-10-15 Mr. Dauth
ambassador = A-58-PV.43 pg007-bk01 2003-10-27 Mr. Dauth
ambassador = S-PV-4852-Resu.1 pg003-bk02 2003-10-29 Mr. Dauth
ambassador = S-PV-4881 pg017-bk02 2003-12-15 Mr. Dauth
ambassador = S-PV-4913 pg025-bk02 2004-02-20 Mr. Dauth
ambassador = A-58-PV.84 pg020-bk01 2004-04-14 Mr. Dauth
ambassador = S-PV-4950-Resu.1 pg007-bk02 2004-04-22 Mr. Dauth
ambassador = S-PV-4965 pg029-bk02 2004-05-10 Mr. Dauth
ambassador = S-PV-4993-Resu.1 pg012-bk02 2004-06-22 Mr. Dauth
ambassador = S-PV-5024 pg019-bk02 2004-08-24 Mr. Dauth
ambassador = S-PV-5031 pg022-bk01 2004-09-13 Mr. Dauth
ambassador = A-59-PV.17 pg019-bk02 2004-09-30 Mr. Dauth
ambassador = A-59-PV.18 pg007-bk01 2004-10-04 Mr. Dauth
ambassador = S-PV-5052-Resu.1 pg005-bk02 2004-10-06 Mr. Dauth
ambassador = S-PV-5066 pg031-bk02 2004-10-28 Mr. Dauth
ambassador = S-PV-5076 pg021-bk02 2004-11-15 Mr. Dauth
ambassador = A-59-PV.58 pg010-bk01 2004-11-22 Mr. Dauth
ambassador = S-PV-5127-Resu.1 pg002-bk05 2005-02-17 Mr. Dauth
ambassador = S-PV-5132 pg023-bk01 2005-02-28 Mr. Dauth
ambassador = A-59-PV.88 pg003-bk01 2005-04-07 Mr. Dauth
ambassador = S-PV-5168 pg032-bk01 2005-04-25 Mr. Dauth
ambassador = S-PV-5187 pg030-bk01 2005-05-26 Mr. Dauth
ambassador = S-PV-5222 pg015-bk02 2005-07-06 Mr. Dauth
ambassador = S-PV-5229-Resu.1 pg014-bk02 2005-07-20 Mr. Dauth
ambassador = S-PV-5294-Resu.1 pg016-bk02 2005-10-27 Mr. Dauth
ambassador = A-60-PV.66 pg017-bk01 2005-12-20 Mr. Dauth
ambassador = A-60-PV.69 pg028-bk01 2005-12-23 Mr. Dauth
ambassador = S-PV-3698-Resu.1 pg014-bk04 1996-09-27 Mr. Downer
ambassador = A-51-PV.15 pg008-bk02 1996-09-30 Mr. Downer
ambassador = A-52-PV.23 pg016-bk02 1997-10-03 Mr. Downer
ambassador = S-PV-4045 pg004-bk02 1999-09-15 Mr. Downer
ambassador = A-54-PV.16 pg008-bk04 1999-09-29 Mr. Downer
ambassador = S-PV-4049-Resu.1 pg023-bk02 1999-09-29 Mr. Downer
ambassador = A-55-PV.20 pg025-bk02 2000-09-18 Mr. Downer
ambassador = A-57-PV.4 pg023-bk04 2002-09-13 Mr. Downer
ambassador = A-58-PV.3 pg028-bk02 2003-09-22 Mr. Downer
ambassador = A-58-PV.9 pg030-bk02 2003-09-24 Mr. Downer
ambassador = A-60-PV.18 pg004-bk02 2005-09-21 Mr. Downer
ambassador = A-61-PV.15 pg033-bk02 2006-09-21 Mr. Downer
ambassador = A-61-PV.15 pg034-bk02 2006-09-21 Mr. Downer
ambassador = A-49-PV.15 pg006-bk02 1994-10-03 Mr. Evans
ambassador = A-50-PV.15 pg010-bk02 1995-10-02 Mr. Evans
ambassador = A-55-PV.55 pg013-bk01 2000-11-08 Mr. Ferguson
ambassador = A-50-PV.67 pg003-bk02 1995-11-20 Mr. Foreman
ambassador = A-49-PV.51 pg033-bk03 1994-11-03 Mr. Francis
ambassador = A-52-PV.56 pg014-bk01 1997-11-26 Mr. Gray
ambassador = A-50-PV.38 pg009-bk05 1995-10-23 Mr. Hayden
ambassador = S-PV-5432 pg026-bk02 2006-05-05 Mr. Hill
ambassador = S-PV-5457 pg009-bk02 2006-06-13 Mr. Hill
ambassador = A-60-PV.92 pg014-bk01 2006-06-30 Mr. Hill
ambassador = S-PV-5493-Resu.1 pg027-bk02 2006-07-21 Mr. Hill
ambassador = S-PV-5512 pg031-bk02 2006-08-15 Mr. Hill
ambassador = A-61-PV.8 pg054-bk02 2006-09-18 Mr. Hill
ambassador = A-61-PV.24 pg024-bk01 2006-10-02 Mr. Hill
ambassador = S-PV-5556 pg020-bk02 2006-10-26 Mr. Hill
ambassador = A-61-PV.50 pg017-bk02 2006-11-08 Mr. Hill
ambassador = A-61-PV.50 pg019-bk03 2006-11-08 Mr. Hill
ambassador = A-61-PV.58 pg017-bk01 2006-11-28 Mr. Hill
ambassador = S-PV-5573-Resu.1 pg014-bk02 2006-11-28 Mr. Hill
ambassador = S-PV-5628 pg025-bk01 2007-02-12 Mr. Hill
ambassador = S-PV-5632-Resu.1 pg016-bk02 2007-02-20 Mr. Hill
ambassador = S-PV-5635-Resu.1 pg003-bk04 2007-02-23 Mr. Hill
ambassador = A-61-PV.88 pg007-bk05 2007-03-15 Mr. Hill
