minorityvote = 105/8/8/70 A-60-PV.69 pg014-bk04 2005-12-23 Operative paragraph 15 was retained by 105 votes to 8, with 8 abstentions.
minorityvote = 11/0/3/1 S-PV-4077 pg004-bk01 1999-12-03 
minorityvote = 11/0/4/0 S-PV-4084 pg017-bk02 1999-12-17 
minorityvote = 3/12/0/0 S-PV-3989 pg006-bk02 1999-03-26 
minorityvote = 13/0/2/0 S-PV-3937 pg014-bk01 1998-10-24 
minorityvote = 13/0/2/0 S-PV-3949 pg008-bk02 1998-11-25 
minorityvote = 13/1/1/0 S-PV-3982 pg005-bk01 1999-02-25 
minorityvote = 13/0/2/0 S-PV-4003 pg009-bk02 1999-05-14 
minorityvote = 14/0/1/0 S-PV-3868 pg012-bk02 1998-03-31 
minorityvote = 14/0/1/0 S-PV-3930 pg004-bk02 1998-09-23 
ambassador = A-49-PV.94 pg011-bk16 1994-12-23 Mr. Al-Dosari
ambassador = A-50-PV.76 pg006-bk01 1995-12-01 Mr. Al-Dosari
ambassador = S-PV-3853 pg005-bk01 1998-02-05 Mr. Al-Dosari
ambassador = S-PV-3878 pg008-bk03 1998-05-13 Mr. Al-Dosari
ambassador = S-PV-3902 pg010-bk01 1998-07-13 Mr. Al-Dosari
ambassador = S-PV-3932 pg020-bk01 1998-09-29 Mr. Al-Dosari
ambassador = S-PV-3937 pg005-bk02 1998-10-24 Mr. Al-Dosari
ambassador = A-53-PV.89 pg017-bk02 1998-12-11 Mr. Al-Dosari
ambassador = S-PV-3987 pg018-bk01 1999-03-19 Mr. Al-Dosari
ambassador = S-PV-4051 pg004-bk01 1999-10-15 Mr. Al-Dosari
ambassador = S-PV-4054 pg018-bk01 1999-10-22 Mr. Al-Dosari
ambassador = S-PV-4067 pg011-bk01 1999-11-12 Mr. Al-Dosari
ambassador = S-PV-4078 pg009-bk02 1999-12-10 Mr. Al-Dosari
ambassador = S-PV-4081 pg014-bk02 1999-12-15 Mr. Al-Dosari
ambassador = S-PV-3342 pg016-bk01 1994-03-02 Mr. Al-Faihani
ambassador = A-49-PV.20 pg003-bk04 1994-10-06 Mr. Al-Khalifa
ambassador = A-50-PV.14 pg018-bk04 1995-10-02 Mr. Al-Khalifa
ambassador = S-PV-3698-Resu.1 pg021-bk03 1996-09-27 Mr. Al-Khalifa
ambassador = A-52-PV.18 pg012-bk02 1997-09-30 Mr. Al-Khalifa
ambassador = S-PV-3931 pg013-bk01 1998-09-24 Mr. Al-Khalifa
ambassador = A-53-PV.16 pg005-bk02 1998-09-25 Mr. Al-Khalifa
ambassador = S-PV-4047 pg005-bk02 1999-09-21 Mr. Al-Khalifa
ambassador = A-54-PV.16 pg017-bk02 1999-09-29 Mr. Al-Khalifa
ambassador = A-60-PV.13 pg015-bk04 2005-09-19 Mr. Al-Khalifa
ambassador = A-56-PV.28 pg014-bk01 2001-10-16 Mr. Al-Malki
ambassador = A-57-PV.66 pg012-bk01 2002-12-03 Mr. Al-Malki
ambassador = S-PV-3916 pg009-bk02 1998-08-13 Mr. Al-Mansoor
ambassador = A-60-PV.92 pg005-bk03 2006-06-30 Mr. Al-Muharraqi
ambassador = S-PV-4709 pg015-bk02 2003-02-18 Mr. Almansoor
ambassador = S-PV-4710 pg013-bk02 2003-02-20 Mr. Almansoor
ambassador = S-PV-4824-Resu.1 pg006-bk02 2003-09-15 Mr. Almansoor
ambassador = A-58-PV.6 pg011-bk01 2003-09-22 Mr. Almansoor
ambassador = S-PV-4835 pg035-bk02 2003-09-30 Mr. Almansoor
ambassador = S-PV-4836 pg022-bk02 2003-10-05 Mr. Almansoor
ambassador = A-58-PV.30 pg025-bk01 2003-10-14 Mr. Almansoor
ambassador = S-PV-4841 pg033-bk02 2003-10-14 Mr. Almansoor
ambassador = A-58-PV.65 pg012-bk01 2003-12-01 Mr. Almansoor
ambassador = A-58-PV.66 pg015-bk01 2003-12-02 Mr. Almansoor
ambassador = S-PV-4929 pg020-bk01 2004-03-23 Mr. Almansoor
ambassador = S-PV-4945 pg024-bk04 2004-04-19 Mr. Almansoor
ambassador = A-59-PV.25 pg026-bk01 2004-10-11 Mr. Almansoor
ambassador = A-59-PV.61 pg011-bk01 2004-11-29 Mr. Almansoor
ambassador = A-59-PV.62 pg026-bk01 2004-11-30 Mr. Almansoor
ambassador = A-59-PV.78 pg014-bk02 2005-01-18 Mr. Almansoor
ambassador = A-59-PV.81 pg002-bk02 2005-02-15 Mr. Almansoor
ambassador = A-60-PV.47 pg010-bk01 2005-11-10 Mr. Almansoor
ambassador = A-60-PV.57 pg018-bk01 2005-11-29 Mr. Almansoor
ambassador = A-60-PV.59 pg012-bk01 2005-11-30 Mr. Almansoor
ambassador = S-PV-5411 pg020-bk01 2006-04-17 Mr. Almansoor
ambassador = A-60-PV.87 pg055-bk04 2006-06-02 Mr. Almansoor
ambassador = S-PV-5552 pg025-bk01 2006-10-19 Mr. Almansoor
ambassador = A-61-PV.60 pg015-bk01 2006-11-29 Mr. Almansoor
ambassador = A-61-PV.62 pg004-bk01 2006-11-30 Mr. Almansoor
ambassador = A-61-PV.72 pg014-bk01 2006-12-11 Mr. Almansoor
ambassador = A-49-PV.72 pg017-bk02 1994-11-30 Mr. Buallay
ambassador = A-50-PV.108 pg009-bk02 1996-04-16 Mr. Buallay
ambassador = A-50-PV.113 pg015-bk02 1996-04-23 Mr. Buallay
ambassador = A-51-PV.46 pg022-bk01 1996-10-30 Mr. Buallay
ambassador = A-51-PV.69 pg007-bk01 1996-12-02 Mr. Buallay
ambassador = S-PV-3850 pg016-bk02 1998-01-27 Mr. Buallay
ambassador = S-PV-3855 pg009-bk01 1998-02-20 Mr. Buallay
ambassador = S-PV-3858 pg007-bk02 1998-03-02 Mr. Buallay
ambassador = S-PV-3864 pg020-bk02 1998-03-20 Mr. Buallay
ambassador = S-PV-3867 pg011-bk01 1998-03-27 Mr. Buallay
ambassador = S-PV-3868 pg009-bk01 1998-03-31 Mr. Buallay
ambassador = S-PV-3870 pg006-bk02 1998-04-09 Mr. Buallay
ambassador = S-PV-3875 pg023-bk01 1998-04-24 Mr. Buallay
ambassador = S-PV-3876 pg009-bk01 1998-04-29 Mr. Buallay
ambassador = S-PV-3877 pg007-bk02 1998-04-30 Mr. Buallay
ambassador = S-PV-3890 pg011-bk02 1998-06-06 Mr. Buallay
ambassador = S-PV-3891 pg007-bk02 1998-06-12 Mr. Buallay
ambassador = S-PV-3892 pg015-bk01 1998-06-15 Mr. Buallay
ambassador = S-PV-3893 pg003-bk03 1998-06-19 Mr. Buallay
ambassador = S-PV-3896 pg019-bk02 1998-06-29 Mr. Buallay
