minorityvote = 4/7/4/0 S-PV-4164 pg005-bk01 2000-06-23 
minorityvote = 8/0/7/0 S-PV-4248 pg009-bk02 2000-12-18 
minorityvote = 9/1/4/1 S-PV-4305 pg005-bk02 2001-03-27 
minorityvote = 4/10/1/0 S-PV-4164 pg003-bk02 2000-06-23 
minorityvote = 12/1/2/0 S-PV-4149 pg004-bk01 2000-05-31 
minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 13/0/2/0 S-PV-4251 pg008-bk02 2000-12-19 
minorityvote = 14/0/0/1 S-PV-4094 pg002-bk07 2000-01-31 
minorityvote = 14/0/1/0 S-PV-4103 pg002-bk12 2000-02-17 
minorityvote = 14/0/1/0 S-PV-4162 pg003-bk02 2000-06-21 
ambassador = S-PV-4437 pg025-bk01 2001-12-14 Mr. Ahmad
ambassador = S-PV-4438 pg014-bk02 2001-12-14 Mr. Ahmad
ambassador = A-57-PV.54 pg013-bk01 2002-11-20 Mr. Ahmad
ambassador = S-PV-4124 pg013-bk02 2000-04-07 Mr. Ahmed
ambassador = S-PV-4127 pg021-bk01 2000-04-14 Mr. Ahmed
ambassador = S-PV-4128 pg005-bk02 2000-04-17 Mr. Ahmed
ambassador = S-PV-4129-Resu.1 pg002-bk04 2000-04-18 Mr. Ahmed
ambassador = S-PV-4133 pg010-bk01 2000-04-27 Mr. Ahmed
ambassador = S-PV-4153 pg019-bk01 2000-06-09 Mr. Ahmed
ambassador = S-PV-4165 pg015-bk01 2000-06-27 Mr. Ahmed
ambassador = S-PV-4166 pg012-bk01 2000-06-29 Mr. Ahmed
ambassador = S-PV-4171 pg016-bk01 2000-07-13 Mr. Ahmed
ambassador = S-PV-4219 pg015-bk01 2000-11-10 Mr. Ahmed
ambassador = S-PV-4227 pg007-bk07 2000-11-17 Mr. Ahmed
ambassador = S-PV-4242 pg011-bk01 2000-12-06 Mr. Ahmed
ambassador = S-PV-4245 pg015-bk01 2000-12-12 Mr. Ahmed
ambassador = S-PV-4283 pg017-bk01 2001-02-22 Mr. Ahsan
ambassador = S-PV-4295-Resu.1 pg012-bk01 2001-03-15 Mr. Ahsan
ambassador = S-PV-4296 pg016-bk01 2001-03-16 Mr. Ahsan
ambassador = S-PV-4308 pg018-bk02 2001-04-05 Mr. Ahsan
ambassador = S-PV-4319 pg019-bk01 2001-05-14 Mr. Ahsan
ambassador = S-PV-4321 pg019-bk01 2001-05-18 Mr. Ahsan
ambassador = S-PV-4357 pg018-bk01 2001-08-20 Mr. Ahsan
ambassador = S-PV-4370 pg006-bk01 2001-09-12 Mr. Ahsan
ambassador = A-56-PV.6 pg002-bk01 2001-09-21 Mr. Ahsan
ambassador = S-PV-4379-Resu.1 pg007-bk01 2001-09-21 Mr. Ahsan
ambassador = A-56-PV.7 pg015-bk01 2001-09-24 Mr. Ahsan
ambassador = A-56-PV.13 pg023-bk01 2001-10-01 Mr. Ahsan
ambassador = S-PV-4387 pg019-bk02 2001-10-05 Mr. Ahsan
ambassador = A-56-PV.27 pg016-bk01 2001-10-16 Mr. Ahsan
ambassador = A-56-PV.29 pg005-bk06 2001-10-22 Mr. Ahsan
ambassador = S-PV-4405 pg013-bk01 2001-11-05 Mr. Ahsan
ambassador = S-PV-4418 pg013-bk01 2001-11-15 Mr. Ahsan
ambassador = A-54-PV.79 pg018-bk01 1999-12-15 Mr. Ali
ambassador = A-51-PV.105 pg005-bk03 1997-07-31 Mr. Alom
