minorityvote = 9/0/6/0 S-PV-5028 pg003-bk02 2004-09-02 
minorityvote = 11/1/3/0 S-PV-4934 pg003-bk02 2004-03-25 
minorityvote = 11/0/4/0 S-PV-5040 pg004-bk01 2004-09-18 
minorityvote = 11/1/3/0 S-PV-5051 pg003-bk02 2004-10-05 
minorityvote = 11/0/4/0 S-PV-5158 pg002-bk08 2005-03-31 
minorityvote = 12/0/3/0 S-PV-5153 pg002-bk08 2005-03-29 
minorityvote = 13/0/2/0 S-PV-5015 pg003-bk02 2004-07-30 
minorityvote = 13/0/2/0 S-PV-5335 pg002-bk08 2005-12-20 
minorityvote = 14/1/0/0 S-PV-4947 pg002-bk08 2004-04-21 
minorityvote = 14/0/1/0 S-PV-4972 pg002-bk10 2004-05-19 
ambassador = A-50-PV.31 pg006-bk02 1995-10-16 Mr. Adechi
ambassador = A-50-PV.34 pg004-bk01 1995-10-20 Mr. Adechi
ambassador = A-54-PV.26 pg004-bk01 1999-10-05 Mr. Adechi
ambassador = A-54-PV.64 pg025-bk01 1999-11-29 Mr. Adechi
ambassador = A-55-PV.28 pg019-bk02 2000-09-22 Mr. Adechi
ambassador = A-55-PV.28 pg020-bk02 2000-09-22 Mr. Adechi
ambassador = A-55-PV.68 pg015-bk01 2000-11-20 Mr. Adechi
ambassador = A-55-PV.70 pg005-bk02 2000-11-21 Mr. Adechi
ambassador = A-56-PV.21 pg018-bk01 2001-10-05 Mr. Adechi
ambassador = A-56-PV.83 pg013-bk06 2001-12-11 Mr. Adechi
ambassador = A-56-PV.86 pg012-bk04 2001-12-14 Mr. Adechi
ambassador = A-56-PV.97 pg007-bk01 2002-03-27 Mr. Adechi
ambassador = S-PV-4538 pg011-bk02 2002-05-22 Mr. Adechi
ambassador = A-58-PV.6 pg037-bk02 2003-09-22 Mr. Adechi
ambassador = A-58-PV.34 pg012-bk01 2003-10-16 Mr. Adechi
ambassador = A-58-PV.57 pg007-bk01 2003-11-05 Mr. Adechi
ambassador = S-PV-4892 pg018-bk01 2004-01-12 Mr. Adechi
ambassador = S-PV-4896 pg009-bk01 2004-01-19 Mr. Adechi
ambassador = S-PV-4898 pg010-bk01 2004-01-20 Mr. Adechi
ambassador = S-PV-4899 pg007-bk01 2004-01-23 Mr. Adechi
ambassador = S-PV-4903 pg029-bk01 2004-01-26 Mr. Adechi
ambassador = S-PV-4910 pg006-bk02 2004-02-06 Mr. Adechi
ambassador = S-PV-4913 pg015-bk02 2004-02-20 Mr. Adechi
ambassador = S-PV-4914 pg008-bk01 2004-02-24 Mr. Adechi
ambassador = S-PV-4917 pg012-bk02 2004-02-26 Mr. Adechi
ambassador = S-PV-4928 pg009-bk01 2004-03-18 Mr. Adechi
ambassador = S-PV-4929 pg012-bk03 2004-03-23 Mr. Adechi
ambassador = S-PV-4933 pg014-bk01 2004-03-25 Mr. Adechi
ambassador = S-PV-4941 pg015-bk02 2004-04-06 Mr. Adechi
ambassador = S-PV-4942 pg012-bk01 2004-04-13 Mr. Adechi
ambassador = S-PV-4943 pg021-bk01 2004-04-15 Mr. Adechi
ambassador = S-PV-4947 pg003-bk04 2004-04-21 Mr. Adechi
ambassador = S-PV-4950 pg012-bk01 2004-04-22 Mr. Adechi
ambassador = S-PV-4962 pg010-bk02 2004-05-06 Mr. Adechi
ambassador = S-PV-4965 pg015-bk01 2004-05-10 Mr. Adechi
ambassador = S-PV-4967 pg014-bk01 2004-05-11 Mr. Adechi
ambassador = S-PV-4970 pg024-bk02 2004-05-17 Mr. Adechi
ambassador = S-PV-4976 pg008-bk01 2004-05-25 Mr. Adechi
ambassador = S-PV-4980 pg012-bk01 2004-05-28 Mr. Adechi
ambassador = S-PV-4987 pg014-bk02 2004-06-08 Mr. Adechi
ambassador = S-PV-4990 pg015-bk01 2004-06-14 Mr. Adechi
ambassador = S-PV-5005 pg017-bk01 2004-07-16 Mr. Adechi
ambassador = S-PV-5007 pg009-bk02 2004-07-20 Mr. Adechi
ambassador = S-PV-5028 pg008-bk01 2004-09-02 Mr. Adechi
ambassador = S-PV-5031 pg015-bk02 2004-09-13 Mr. Adechi
ambassador = S-PV-5040 pg008-bk02 2004-09-18 Mr. Adechi
ambassador = S-PV-5041 pg024-bk02 2004-09-22 Mr. Adechi
ambassador = S-PV-5043 pg013-bk02 2004-09-24 Mr. Adechi
ambassador = S-PV-5049 pg013-bk01 2004-10-04 Mr. Adechi
ambassador = S-PV-5052 pg018-bk01 2004-10-06 Mr. Adechi
ambassador = A-59-PV.28 pg012-bk01 2004-10-13 Mr. Adechi
ambassador = S-PV-5066 pg011-bk02 2004-10-28 Mr. Adechi
ambassador = S-PV-5076 pg009-bk01 2004-11-15 Mr. Adechi
ambassador = S-PV-5082 pg010-bk01 2004-11-19 Mr. Adechi
ambassador = S-PV-5083 pg015-bk01 2004-11-19 Mr. Adechi
ambassador = S-PV-5084 pg002-bk07 2004-11-19 Mr. Adechi
ambassador = A-59-PV.67 pg031-bk02 2004-12-06 Mr. Adechi
ambassador = S-PV-5096 pg018-bk02 2004-12-08 Mr. Adechi
ambassador = S-PV-5100 pg021-bk01 2004-12-14 Mr. Adechi
ambassador = S-PV-5104 pg010-bk01 2004-12-17 Mr. Adechi
ambassador = S-PV-5110-Resu.1 pg005-bk02 2005-01-12 Mr. Adechi
ambassador = S-PV-5113 pg014-bk02 2005-01-18 Mr. Adechi
ambassador = S-PV-5147 pg009-bk01 2005-03-23 Mr. Adechi
ambassador = S-PV-5152 pg011-bk02 2005-03-28 Mr. Adechi
ambassador = S-PV-5158 pg010-bk03 2005-03-31 Mr. Adechi
ambassador = S-PV-5168 pg019-bk01 2005-04-25 Mr. Adechi
ambassador = S-PV-5169 pg008-bk01 2005-04-26 Mr. Adechi
ambassador = A-54-PV.53 pg011-bk01 1999-11-15 Mr. Adekambi
ambassador = A-61-PV.5 pg016-bk02 2006-09-15 Mr. Agossou
ambassador = S-PV-4920 pg024-bk01 2004-03-03 Mr. Aho-Glele
ambassador = S-PV-4921 pg004-bk02 2004-03-04 Mr. Aho-Glele
ambassador = S-PV-4993 pg028-bk02 2004-06-22 Mr. Aho-Glele
ambassador = A-59-PV.75 pg007-bk11 2004-12-22 Mr. Aho-Glele
ambassador = A-59-PV.89 pg029-bk01 2005-04-08 Mr. Aho-Glele
ambassador = S-PV-5220 pg014-bk01 2005-06-30 Mr. Aho-Glele
ambassador = S-PV-5225 pg028-bk01 2005-07-12 Mr. Aho-Glele
ambassador = S-PV-5228 pg018-bk01 2005-07-18 Mr. Aho-Glele
ambassador = S-PV-5256 pg013-bk02 2005-09-07 Mr. Aho-Glele
ambassador = A-61-PV.9 pg001-bk08 2006-09-19 Mr. Aho-Glele
ambassador = A-52-PV.50 pg012-bk01 1997-11-20 Mr. Amehou
ambassador = A-52-PV.52 pg014-bk02 1997-11-24 Mr. Amehou
ambassador = A-52-PV.55 pg009-bk10 1997-11-25 Mr. Amehou
ambassador = A-54-PV.63 pg014-bk01 1999-11-24 Mr. Amehou
ambassador = S-PV-5188 pg019-bk01 2005-05-27 Mr. Babadoudou
ambassador = S-PV-5229 pg008-bk02 2005-07-20 Mr. Babadoudou
ambassador = S-PV-5328 pg017-bk02 2005-12-15 Mr. Babadoudou
ambassador = A-52-PV.51 pg019-bk01 1997-11-21 Mr. Biaou
ambassador = A-58-PV.21 pg013-bk02 2003-10-02 Mr. Biaou
ambassador = A-58-PV.21 pg013-bk04 2003-10-02 Mr. Biaou
ambassador = A-59-PV.15 pg008-bk02 2004-09-29 Mr. Biaou
ambassador = A-59-PV.107 pg014-bk02 2005-06-27 Mr. Biaou
ambassador = A-60-PV.23 pg011-bk02 2005-09-23 Mr. Biaou
ambassador = S-PV-5282-Resu.1 pg005-bk02 2005-10-17 Mr. Djakpo
ambassador = A-49-PV.13 pg031-bk01 1994-09-30 Mr. Dossou
ambassador = A-61-PV.25 pg011-bk01 2006-10-02 Mr. Ehouzou
ambassador = A-61-PV.30 pg004-bk01 2006-10-13 Mr. Ehouzou
ambassador = S-PV-5573-Resu.1 pg021-bk02 2006-11-28 Mr. Ehouzou
ambassador = A-61-PV.87 pg027-bk02 2007-02-06 Mr. Ehouzou
ambassador = S-PV-5649-Resu.1 pg015-bk02 2007-03-28 Mr. Ehouzou
ambassador = A-61-PV.95 pg007-bk02 2007-04-17 Mr. Ehouzou
ambassador = A-53-PV.20 pg017-bk02 1998-09-29 Mr. Idji
ambassador = A-54-PV.15 pg030-bk02 1999-09-25 Mr. Idji
ambassador = A-55-PV.6 pg032-bk02 2000-09-07 Mr. Idji
ambassador = A-56-PV.53 pg019-bk01 2001-11-14 Mr. Idji
ambassador = A-56-PV.53 pg021-bk02 2001-11-14 Mr. Idji
ambassador = A-57-PV.14 pg023-bk02 2002-09-18 Mr. Idji
ambassador = S-PV-5264 pg017-bk01 2005-09-20 Mr. Idohou
ambassador = S-PV-5293 pg013-bk01 2005-10-26 Mr. Idohou
ambassador = S-PV-5294 pg018-bk01 2005-10-27 Mr. Idohou
ambassador = S-PV-5297 pg012-bk01 2005-10-31 Mr. Idohou
ambassador = S-PV-5306 pg014-bk01 2005-11-15 Mr. Idohou
ambassador = S-PV-5319 pg010-bk01 2005-12-09 Mr. Idohou
ambassador = S-PV-5331 pg006-bk02 2005-12-19 Mr. Idohou
ambassador = A-60-PV.87 pg063-bk02 2006-06-02 Mr. Idohou
ambassador = A-49-PV.38 pg019-bk03 1994-10-19 Mr. Mongbe
ambassador = A-49-PV.42 pg015-bk03 1994-10-21 Mr. Mongbe
ambassador = A-49-PV.51 pg031-bk01 1994-11-03 Mr. Mongbe
ambassador = A-49-PV.60 pg012-bk02 1994-11-18 Mr. Mongbe
ambassador = A-49-PV.62 pg051-bk01 1994-11-21 Mr. Mongbe
ambassador = A-49-PV.74 pg015-bk01 1994-12-02 Mr. Mongbe
ambassador = A-49-PV.79 pg021-bk01 1994-12-07 Mr. Mongbe
ambassador = A-49-PV.87 pg015-bk01 1994-12-14 Mr. Mongbe
ambassador = A-49-PV.89 pg014-bk01 1994-12-15 Mr. Mongbe
ambassador = A-50-PV.53 pg003-bk02 1995-11-08 Mr. Mongbe
ambassador = A-50-PV.69 pg005-bk01 1995-11-27 Mr. Mongbe
ambassador = A-50-PV.78 pg017-bk01 1995-12-04 Mr. Mongbe
ambassador = A-50-PV.84 pg008-bk01 1995-12-07 Mr. Mongbe
ambassador = A-50-PV.89 pg002-bk02 1995-12-12 Mr. Mongbé
ambassador = A-50-PV.10 pg001-bk04 1995-09-28 Mr. Monnou
ambassador = A-51-PV.14 pg013-bk02 1996-09-30 Mr. Osho
ambassador = A-52-PV.20 pg025-bk02 1997-10-01 Mr. Osho
ambassador = S-PV-4720-Resu.1 pg008-bk02 2003-03-18 Mr. Osho
ambassador = A-50-PV.27 pg027-bk02 1995-10-10 Mr. Whannou
ambassador = A-50-PV.29 pg033-bk01 1995-10-11 Mr. Whannou
ambassador = A-51-PV.57 pg018-bk04 1996-11-12 Mr. Whannou
ambassador = A-51-PV.57 pg019-bk02 1996-11-12 Mr. Whannou
ambassador = A-51-PV.61 pg012-bk01 1996-11-20 Mr. Whannou
ambassador = A-51-PV.67 pg005-bk01 1996-11-27 Mr. Whannou
ambassador = A-50-PV.111 pg012-bk01 1996-04-18 Mr. Yacoubou
ambassador = A-51-PV.51 pg014-bk01 1996-11-04 Mr. Yacoubou
ambassador = A-52-PV.34 pg013-bk01 1997-10-17 Mr. Yacoubou
ambassador = A-52-PV.42 pg018-bk01 1997-10-31 Mr. Yacoubou
ambassador = A-52-PV.57 pg009-bk01 1997-11-26 Mr. Yacoubou
ambassador = A-53-PV.49 pg016-bk01 1998-10-29 Mr. Yacoubou
ambassador = A-53-PV.54 pg018-bk01 1998-11-10 Mr. Yacoubou
ambassador = A-53-PV.67 pg004-bk01 1998-11-23 Mr. Yacoubou
ambassador = A-53-PV.70 pg007-bk01 1998-11-25 Mr. Yacoubou
ambassador = A-53-PV.70 pg007-bk03 1998-11-25 Mr. Yacoubou
ambassador = A-53-PV.85 pg022-bk04 1998-12-09 Mr. Yacoubou
ambassador = A-53-PV.87 pg001-bk05 1998-12-10 Mr. Yacoubou
ambassador = A-53-PV.96 pg008-bk01 1999-03-24 Mr. Yacoubou
