minorityvote = 14/1/0/0 S-PV-3730 pg017-bk01 1997-01-10 
minorityvote = 13/1/1/0 S-PV-3982 pg005-bk01 1999-02-25 
minorityvote = 103/3/27/52 A-51-PV.99 pg007-bk03 1997-05-21 Draft resolution  A/51/L.72  was adopted by 103 votes to 3, with 27 abstentions ( resolution 51/229 ).
minorityvote = 120/3/31/34 A-54-PV.83 pg032-bk02 1999-12-17 Section III of draft resolution IX was adopted by 120 votes to 3, with 31 abstentions.
minorityvote = 3/12/0/0 S-PV-3989 pg006-bk02 1999-03-26 
minorityvote = 9/3/3/0 S-PV-5619 pg006-bk02 2007-01-12 
minorityvote = 4/0/11/0 S-PV-3654 pg003-bk01 1996-04-18 
minorityvote = 4/10/1/0 S-PV-4164 pg003-bk02 2000-06-23 
minorityvote = 4/7/4/0 S-PV-4164 pg005-bk01 2000-06-23 
minorityvote = 10/4/1/0 S-PV-5526 pg004-bk02 2006-09-15 
ambassador = S-PV-3356 pg010-bk01 1994-03-31 Mr. Chen
ambassador = S-PV-3367 pg054-bk01 1994-04-21 Mr. Chen Jian
ambassador = S-PV-3375 pg009-bk02 1994-05-05 Mr. Chen Jian
ambassador = S-PV-3376 pg009-bk01 1994-05-06 Mr. Chen Jian
ambassador = S-PV-3392 pg004-bk01 1994-06-22 Mr. Chen Jian
ambassador = A-51-PV.50 pg003-bk01 1996-11-04 Mr. Chen Shiqiu
ambassador = S-PV-3984 pg004-bk02 1999-02-26 Mr. Chen Xu
ambassador = S-PV-4029 pg009-bk01 1999-07-30 Mr. Chen Xu
ambassador = S-PV-4035 pg006-bk02 1999-08-20 Mr. Chen Xu
ambassador = S-PV-4046 pg021-bk01 1999-09-16 Mr. Chen Xu
ambassador = S-PV-4074 pg006-bk01 1999-11-30 Mr. Chen Xu
ambassador = S-PV-4085 pg007-bk02 1999-12-22 Mr. Chen Xu
ambassador = S-PV-4105-Resu.1 pg002-bk02 2000-02-28 Mr. Chen Xu
ambassador = S-PV-4111 pg009-bk02 2000-03-13 Mr. Chen Xu
