minorityvote = 10/0/5/0 S-PV-3392 pg005-bk02 1994-06-22 
minorityvote = 11/2/2/0 S-PV-3428 pg028-bk06 1994-09-23 
minorityvote = 129/12/32/12 A-52-PV.70 pg018-bk06 1997-12-12 Draft resolution XVIII was adopted by 129 votes to 12, with 32 abstentions ( resolution 52/136 ).
minorityvote = 12/0/2/1 S-PV-3413 pg012-bk01 1994-07-31 
minorityvote = 13/0/2/0 S-PV-3430 pg005-bk03 1994-09-29 
minorityvote = 13/1/1/0 S-PV-3453 pg003-bk02 1994-11-08 
minorityvote = 13/0/2/0 S-PV-3470 pg004-bk02 1994-11-29 
minorityvote = 13/1/1/0 S-PV-3475 pg011-bk02 1994-12-02 
minorityvote = 13/0/2/0 S-PV-3522 pg016-bk02 1995-04-21 
minorityvote = 13/0/2/0 S-PV-3543 pg017-bk02 1995-06-16 
ambassador = A-52-PV.49 pg008-bk01 1997-11-12 Mr. Galuska
ambassador = A-52-PV.71 pg008-bk01 1997-12-15 Mr. Galuska
ambassador = A-53-PV.28 pg012-bk01 1998-10-05 Mr. Galuska
ambassador = A-53-PV.50 pg024-bk01 1998-11-02 Mr. Galuska
ambassador = A-53-PV.65 pg001-bk04 1998-11-20 Mr. Galuska
ambassador = A-53-PV.72 pg015-bk01 1998-11-30 Mr. Galuska
ambassador = A-53-PV.89 pg010-bk04 1998-12-11 Mr. Galuska
ambassador = A-54-PV.79 pg002-bk02 1999-12-15 Mr. Galuska
ambassador = A-54-PV.82 pg025-bk01 1999-12-16 Mr. Galuska
ambassador = A-55-PV.52 pg018-bk01 2000-11-06 Mr. Galuska
ambassador = A-55-PV.65 pg029-bk01 2000-11-16 Mr. Galuska
ambassador = A-56-PV.1 pg006-bk06 2001-09-12 Mr. Galuska
ambassador = A-56-PV.6 pg007-bk01 2001-09-21 Mr. Galuska
ambassador = A-56-PV.17 pg002-bk01 2001-10-03 Mr. Galuska
ambassador = A-53-PV.12 pg029-bk02 1998-09-23 Mr. Kavan
ambassador = A-54-PV.9 pg046-bk02 1999-09-22 Mr. Kavan
ambassador = A-55-PV.18 pg004-bk04 2000-09-16 Mr. Kavan
ambassador = A-56-PV.51 pg007-bk02 2001-11-13 Mr. Kavan
ambassador = A-56-PV.30 pg023-bk01 2001-10-22 Mr. Kmonícek
ambassador = A-56-PV.35 pg020-bk01 2001-10-31 Mr. Kmonícek
ambassador = A-57-PV.30 pg006-bk01 2002-10-15 Mr. Kmonícek
ambassador = A-57-PV.88 pg005-bk04 2003-06-06 Mr. Kmonícek
ambassador = A-58-PV.55 pg001-bk04 2003-11-04 Mr. Kmonícek
ambassador = A-59-PV.27 pg011-bk01 2004-10-12 Mr. Kmonícek
ambassador = A-59-PV.85 pg025-bk01 2005-04-06 Mr. Kmonícek
ambassador = A-59-PV.112 pg014-bk01 2005-07-12 Mr. Kmonícek
ambassador = A-57-PV.19 pg023-bk02 2002-09-20 Mr. Kohout
ambassador = A-60-PV.68 pg023-bk20 2005-12-22 Mr. Koudelka
ambassador = S-PV-3344 pg006-bk02 1994-03-04 Mr. Kovanda
ambassador = S-PV-3346 pg011-bk01 1994-03-09 Mr. Kovanda
ambassador = S-PV-3351 pg013-bk01 1994-03-18 Mr. Kovanda
ambassador = S-PV-3354 pg004-bk01 1994-03-25 Mr. Kovanda
ambassador = S-PV-3356 pg005-bk01 1994-03-31 Mr. Kovanda
ambassador = S-PV-3367 pg046-bk01 1994-04-21 Mr. Kovanda
ambassador = S-PV-3375 pg008-bk02 1994-05-05 Mr. Kovanda
ambassador = S-PV-3377 pg015-bk01 1994-05-16 Mr. Kovanda
ambassador = S-PV-3379 pg027-bk02 1994-05-25 Mr. Kovanda
ambassador = S-PV-3388 pg003-bk02 1994-06-08 Mr. Kovanda
ambassador = S-PV-3400 pg004-bk01 1994-07-01 Mr. Kovanda
ambassador = S-PV-3428 pg024-bk02 1994-09-23 Mr. Kovanda
ambassador = S-PV-3438 pg006-bk02 1994-10-15 Mr. Kovanda
ambassador = S-PV-3439 pg011-bk01 1994-10-17 Mr. Kovanda
ambassador = A-49-PV.38 pg020-bk02 1994-10-19 Mr. Kovanda
ambassador = A-49-PV.39 pg008-bk02 1994-10-20 Mr. Kovanda
ambassador = A-49-PV.51 pg027-bk01 1994-11-03 Mr. Kovanda
ambassador = S-PV-3449 pg010-bk01 1994-11-04 Mr. Kovanda
ambassador = S-PV-3453 pg006-bk02 1994-11-08 Mr. Kovanda
ambassador = S-PV-3454 pg009-bk03 1994-11-08 Mr. Kovanda
