minorityvote = 123/4/44/19 A-56-PV.88 pg012-bk02 2001-12-19 Draft resolution IV was adopted by 123 votes to 4, with 44 abstentions ( resolution 56/150 ).
minorityvote = 119/10/38/21 A-54-PV.83 pg024-bk02 1999-12-17 Draft resolution XX as a whole was adopted by 119 votes to 10, with 38 abstentions ( resolution 54/175 ).
minorityvote = 125/10/30/26 A-59-PV.76 pg006-bk11 2004-12-23 Draft resolution III was adopted by 125 votes to 10, with 30 abstentions ( resolution 59/260 ).
minorityvote = 95/10/25/61 A-60-PV.69 pg013-bk06 2005-12-23 Draft resolution IV was adopted by 95 votes to 10, with 25 abstentions ( resolution 60/229 ).
minorityvote = 10/4/1/0 S-PV-5526 pg004-bk02 2006-09-15 
minorityvote = 11/0/4/0 S-PV-5158 pg002-bk08 2005-03-31 
minorityvote = 129/12/32/12 A-52-PV.70 pg018-bk06 1997-12-12 Draft resolution XVIII was adopted by 129 votes to 12, with 32 abstentions ( resolution 52/136 ).
minorityvote = 12/0/3/0 S-PV-5153 pg002-bk08 2005-03-29 
minorityvote = 12/0/3/0 S-PV-5423 pg002-bk06 2006-04-25 
minorityvote = 12/0/3/0 S-PV-5519 pg002-bk08 2006-08-31 
ambassador = A-55-PV.38 pg011-bk01 2000-10-20 Mr. Bojer
ambassador = A-52-PV.54 pg012-bk06 1997-11-25 Mr. Bøjer
ambassador = A-52-PV.70 pg035-bk05 1997-12-12 Mr. Bøjer
ambassador = A-53-PV.95 pg003-bk02 1999-03-23 Mr. Bøjer
ambassador = S-PV-4043-Resu.1 pg026-bk02 1999-09-11 Mr. Bøjer
ambassador = S-PV-4223-Resu.1 pg017-bk02 2000-11-15 Mr. Bøjer
ambassador = A-55-PV.65 pg032-bk03 2000-11-16 Mr. Bøjer
ambassador = A-55-PV.97 pg001-bk13 2001-03-21 Mr. Bøjer
ambassador = A-57-PV.31 pg011-bk02 2002-10-16 Mr. Christensen
ambassador = A-57-PV.78 pg019-bk12 2002-12-20 Mr. Christiansen
ambassador = A-58-PV.36 pg007-bk01 2003-10-17 Mr. Faaborg-Andersen
ambassador = S-PV-5127 pg017-bk01 2005-02-17 Mr. Faaborg-Andersen
ambassador = S-PV-5132 pg014-bk01 2005-02-28 Mr. Faaborg-Andersen
ambassador = S-PV-5147 pg009-bk02 2005-03-23 Mr. Faaborg-Andersen
ambassador = S-PV-5152 pg022-bk01 2005-03-28 Mr. Faaborg-Andersen
ambassador = S-PV-5203 pg009-bk02 2005-06-15 Mr. Faaborg-Andersen
ambassador = S-PV-5209 pg017-bk02 2005-06-21 Mr. Faaborg-Andersen
ambassador = S-PV-5249 pg010-bk01 2005-08-23 Mr. Faaborg-Andersen
ambassador = S-PV-5300 pg004-bk02 2005-11-08 Mr. Faaborg-Andersen
ambassador = A-60-PV.50 pg004-bk01 2005-11-11 Mr. Faaborg-Andersen
ambassador = S-PV-5328 pg021-bk01 2005-12-15 Mr. Faaborg-Andersen
ambassador = S-PV-5334 pg010-bk01 2005-12-20 Mr. Faaborg-Andersen
ambassador = S-PV-5351 pg010-bk01 2006-01-23 Mr. Faaborg-Andersen
