minorityvote = 132/1/22/33 A-54-PV.69 pg011-bk04 1999-12-01 Operative paragraph 9 was retained by 132 votes to 1, with 22 abstentions.
minorityvote = 87/2/38/57 A-49-PV.69 pg013-bk04 1994-11-28 The draft resolution was adopted by 87 votes to 2, with 38 abstentions ( resolution 49/18 ).*
minorityvote = 147/2/10/29 A-54-PV.69 pg018-bk02 1999-12-01 Operative paragraph 3 as a whole of draft resolution L was retained by 147 votes to 2, with 10 abstentions.
minorityvote = 139/3/26/17 A-49-PV.90 pg030-bk05 1994-12-15 Draft resolution B was adopted by 139 votes to 3, with 26 abstentions ( resolution 49/75  B).
minorityvote = 131/3/35/16 A-49-PV.90 pg043-bk06 1994-12-15 The draft resolution was adopted by 131 votes to 3, with 35 abstentions ( resolution 49/82 ).
minorityvote = 161/3/3/18 A-49-PV.90 pg044-bk09 1994-12-15 Draft resolution II was adopted by 161 votes to 3, with 3 abstentions ( resolution 49/84 ).
minorityvote = 123/3/39/20 A-50-PV.90 pg037-bk11 1995-12-12 The draft resolution was adopted by 123 votes to 3, with 39 abstentions ( resolution 50/76 ).
minorityvote = 129/3/38/15 A-51-PV.79 pg013-bk03 1996-12-10 Draft resolution B as a whole was adopted by 129 votes to 3, with 38 abstentions ( resolution 51/45  B).
minorityvote = 131/3/37/14 A-51-PV.79 pg031-bk08 1996-12-10 The draft resolution was adopted by 131 votes to 3, with 37 abstentions ( resolution 51/51 ).
minorityvote = 131/3/34/17 A-52-PV.67 pg018-bk02 1997-12-09 The draft resolution was adopted by 131 votes to 3, with 34 abstentions ( resolution 52/38  N).
ambassador = A-55-PV.42 pg008-bk01 2000-10-26 Mr. Alabrune
ambassador = A-55-PV.44 pg007-bk03 2000-10-30 Mr. Alabrune
ambassador = A-55-PV.68 pg005-bk01 2000-11-20 Mr. Alabrune
ambassador = A-55-PV.68 pg022-bk01 2000-11-20 Mr. Alabrune
ambassador = S-PV-3402 pg002-bk12 1994-07-11 Mr. Balladur
ambassador = S-PV-5041 pg011-bk02 2004-09-22 Mr. Barnier
ambassador = A-59-PV.7 pg028-bk02 2004-09-23 Mr. Barnier
ambassador = A-59-PV.7 pg030-bk02 2004-09-23 Mr. Barnier
ambassador = A-54-PV.53 pg001-bk09 1999-11-15 Mr. Bianco
ambassador = A-55-PV.78 pg012-bk02 2000-12-01 Mr. Bigot
ambassador = A-55-PV.78 pg022-bk02 2000-12-01 Mr. Bigot
ambassador = A-55-PV.39 pg019-bk01 2000-10-25 Mr. Bossiere
ambassador = A-55-PV.44 pg016-bk02 2000-10-30 Mr. Bossiere
ambassador = A-54-PV.100 pg010-bk05 2000-09-05 Mr. Bossière
ambassador = A-55-PV.38 pg003-bk01 2000-10-20 Mr. Bossière
ambassador = A-55-PV.38 pg021-bk05 2000-10-20 Mr. Bossière
ambassador = A-55-PV.45 pg002-bk01 2000-10-31 Mr. Bossière
ambassador = A-55-PV.49 pg003-bk01 2000-11-02 Mr. Bossière
ambassador = A-55-PV.52 pg009-bk01 2000-11-06 Mr. Bossière
ambassador = A-55-PV.54 pg002-bk01 2000-11-07 Mr. Bossière
ambassador = A-55-PV.70 pg005-bk03 2000-11-21 Mr. Bossière
ambassador = A-59-PV.37 pg015-bk01 2004-10-20 Mr. Brachet
ambassador = A-59-PV.106 pg021-bk01 2005-06-27 Mr. Breton
ambassador = A-55-PV.74 pg009-bk02 2000-11-29 Mr. Brunet
ambassador = A-56-PV.61 pg013-bk05 2001-11-21 Mr. Brunet
ambassador = A-61-PV.59 pg013-bk01 2006-11-28 Mr. Chibaeff
ambassador = A-54-PV.62 pg020-bk02 1999-11-24 Mr. Colas
ambassador = A-51-PV.8 pg017-bk02 1996-09-25 Mr. De Charette
ambassador = S-PV-3698 pg010-bk02 1996-09-27 Mr. De Charette
ambassador = S-PV-4705 pg007-bk02 2003-02-13 Mr. De La Sablière
ambassador = S-PV-4711 pg013-bk03 2003-02-24 Mr. De La Sablière
ambassador = S-PV-4726-Resu.1 pg028-bk02 2003-03-27 Mr. De La Sablière
ambassador = S-PV-4728 pg011-bk01 2003-03-28 Mr. De La Sablière
ambassador = S-PV-4732 pg004-bk02 2003-03-28 Mr. De La Sablière
ambassador = S-PV-4734 pg012-bk01 2003-04-04 Mr. De La Sablière
ambassador = S-PV-4739 pg034-bk02 2003-04-11 Mr. De La Sablière
ambassador = S-PV-4748 pg024-bk01 2003-04-30 Mr. De La Sablière
ambassador = S-PV-4752 pg007-bk01 2003-05-06 Mr. De La Sablière
ambassador = S-PV-4753 pg021-bk02 2003-05-13 Mr. De La Sablière
ambassador = S-PV-4761 pg003-bk01 2003-05-22 Mr. De La Sablière
ambassador = S-PV-4766 pg004-bk02 2003-05-30 Mr. De La Sablière
ambassador = S-PV-4774 pg008-bk02 2003-06-17 Mr. De La Sablière
ambassador = S-PV-4784 pg013-bk02 2003-07-07 Mr. De La Sablière
ambassador = S-PV-4791 pg014-bk02 2003-07-22 Mr. De La Sablière
ambassador = S-PV-4793 pg006-bk03 2003-07-25 Mr. De La Sablière
ambassador = S-PV-4820-Part.2 pg003-bk01 2003-09-12 Mr. De La Sablière
ambassador = S-PV-4824 pg018-bk01 2003-09-15 Mr. De La Sablière
ambassador = S-PV-4828 pg004-bk01 2003-09-16 Mr. De La Sablière
ambassador = S-PV-4834 pg010-bk02 2003-09-29 Mr. De La Sablière
ambassador = S-PV-4836 pg010-bk02 2003-10-05 Mr. De La Sablière
ambassador = S-PV-4837 pg010-bk03 2003-10-08 Mr. De La Sablière
ambassador = S-PV-4838 pg018-bk01 2003-10-09 Mr. De La Sablière
ambassador = S-PV-4840 pg002-bk10 2003-10-13 Mr. De La Sablière
ambassador = A-58-PV.31 pg001-bk04 2003-10-14 Mr. De La Sablière
ambassador = A-58-PV.32 pg013-bk01 2003-10-15 Mr. De La Sablière
ambassador = S-PV-4844 pg004-bk01 2003-10-16 Mr. De La Sablière
ambassador = A-58-PV.45 pg003-bk01 2003-10-28 Mr. De La Sablière
ambassador = S-PV-4851 pg018-bk02 2003-10-28 Mr. De La Sablière
ambassador = S-PV-4852 pg015-bk01 2003-10-29 Mr. De La Sablière
ambassador = S-PV-4859 pg017-bk01 2003-11-17 Mr. De La Sablière
ambassador = S-PV-4865 pg015-bk01 2003-11-20 Mr. De La Sablière
ambassador = S-PV-4869 pg008-bk02 2003-11-21 Mr. De La Sablière
ambassador = S-PV-4871 pg006-bk01 2003-11-24 Mr. De La Sablière
ambassador = S-PV-4872 pg003-bk02 2003-11-24 Mr. De La Sablière
ambassador = S-PV-4876 pg006-bk02 2003-12-04 Mr. De La Sablière
ambassador = S-PV-4886 pg010-bk02 2003-12-17 Mr. De La Sablière
ambassador = S-PV-4892 pg009-bk02 2004-01-12 Mr. De La Sablière
ambassador = S-PV-4898 pg020-bk02 2004-01-20 Mr. De La Sablière
ambassador = S-PV-4899 pg005-bk02 2004-01-23 Mr. De La Sablière
ambassador = S-PV-4914 pg012-bk01 2004-02-24 Mr. De La Sablière
ambassador = S-PV-4941 pg017-bk02 2004-04-06 Mr. De La Sablière
ambassador = S-PV-4943 pg017-bk01 2004-04-15 Mr. De La Sablière
ambassador = S-PV-4945 pg013-bk02 2004-04-19 Mr. De La Sablière
ambassador = S-PV-4947 pg003-bk05 2004-04-21 Mr. De La Sablière
ambassador = S-PV-4950 pg008-bk01 2004-04-22 Mr. De La Sablière
ambassador = S-PV-4956 pg002-bk08 2004-04-28 Mr. De La Sablière
ambassador = S-PV-4964 pg007-bk02 2004-05-07 Mr. De La Sablière
