minorityvote = 155/3/5/21 A-49-PV.83 pg011-bk06 1994-12-09 Draft resolution B was adopted by 155 votes to 3, with 5 abstentions ( resolution 49/36  B).*
minorityvote = 11/0/3/1 S-PV-4077 pg004-bk01 1999-12-03 
minorityvote = 11/0/4/0 S-PV-4084 pg017-bk02 1999-12-17 
minorityvote = 3/12/0/0 S-PV-3989 pg006-bk02 1999-03-26 
minorityvote = 13/0/2/0 S-PV-3937 pg014-bk01 1998-10-24 
minorityvote = 13/0/2/0 S-PV-3949 pg008-bk02 1998-11-25 
minorityvote = 13/1/1/0 S-PV-3982 pg005-bk01 1999-02-25 
minorityvote = 13/0/2/0 S-PV-4003 pg009-bk02 1999-05-14 
minorityvote = 101/14/47/23 A-50-PV.99 pg019-bk04 1995-12-22 Draft resolution XII was adopted by 101 votes to 14, with 47 abstentions ( resolution 50/199 ).
minorityvote = 14/0/1/0 S-PV-3868 pg012-bk02 1998-03-31 
ambassador = A-61-PV.8 pg024-bk02 2006-09-18 Mr. Bajo
ambassador = A-61-PV.19 pg025-bk02 2006-09-25 Mr. Bajo
ambassador = A-61-PV.19 pg027-bk02 2006-09-25 Mr. Bajo
ambassador = A-51-PV.25 pg016-bk02 1996-10-07 Mr. Ceesay
ambassador = A-57-PV.75 pg027-bk02 2002-12-16 Mr. Drammeh
ambassador = A-60-PV.17 pg003-bk04 2005-09-20 Mr. Fal
ambassador = S-PV-4538-Resu.1 pg003-bk02 2002-05-22 Mr. Grey-Johnson
ambassador = A-57-PV.19 pg038-bk07 2002-09-20 Mr. Grey-Johnson
ambassador = A-57-PV.30 pg001-bk04 2002-10-15 Mr. Grey-Johnson
ambassador = S-PV-4709 pg017-bk02 2003-02-18 Mr. Grey-Johnson
ambassador = S-PV-4776 pg006-bk02 2003-06-19 Mr. Grey-Johnson
ambassador = A-58-PV.30 pg007-bk01 2003-10-14 Mr. Grey-Johnson
ambassador = A-58-PV.30 pg007-bk03 2003-10-14 Mr. Grey-Johnson
ambassador = A-59-PV.27 pg023-bk01 2004-10-12 Mr. Grey-Johnson
ambassador = A-59-PV.49 pg001-bk05 2004-11-04 Mr. Grey-Johnson
ambassador = A-59-PV.52 pg002-bk02 2004-11-11 Mr. Grey-Johnson
