minorityvote = 123/3/11/48 A-51-PV.43 pg019-bk05 1996-10-29 The third preambular paragraph was retained by 123 votes to 3, with 11 abstentions. [Subsequently, the delegation of Sudan advised the Secretariat that it had intended to vote in favour]
minorityvote = 145/4/11/25 A-49-PV.90 pg031-bk04 1994-12-15 Operative paragraph 6 was adopted by 145 votes to 4, with 11 abstentions.
minorityvote = 4/0/11/0 S-PV-3654 pg003-bk01 1996-04-18 
minorityvote = 8/95/22/60 A-50-PV.47 pg016-bk02 1995-11-01 The amendment was rejected by 95 votes to 8, with 22 abstentions.
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 101/13/49/22 A-49-PV.94 pg024-bk06 1994-12-23 Draft resolution III was adopted by 101 votes to 13, with 49 abstentions ( resolution 49/198 ).
minorityvote = 13/0/2/0 S-PV-3522 pg016-bk02 1995-04-21 
minorityvote = 13/0/2/0 S-PV-3543 pg017-bk02 1995-06-16 
minorityvote = 13/0/2/0 S-PV-3660 pg020-bk02 1996-04-26 
minorityvote = 13/0/2/0 S-PV-3683 pg024-bk02 1996-07-26 
ambassador = A-56-PV.67 pg004-bk01 2001-11-28 Mr. Adamhar
ambassador = A-49-PV.16 pg019-bk01 1994-10-04 Mr. Alatas
ambassador = A-49-PV.16 pg021-bk02 1994-10-04 Mr. Alatas
ambassador = S-PV-3583 pg003-bk04 1995-09-26 Mr. Alatas
ambassador = A-50-PV.14 pg006-bk02 1995-10-02 Mr. Alatas
ambassador = S-PV-3698 pg012-bk04 1996-09-27 Mr. Alatas
ambassador = A-51-PV.14 pg009-bk02 1996-09-30 Mr. Alatas
ambassador = A-51-PV.14 pg012-bk02 1996-09-30 Mr. Alatas
ambassador = A-52-PV.18 pg007-bk02 1997-09-30 Mr. Alatas
ambassador = A-53-PV.6 pg013-bk02 1998-09-18 Mr. Alatas
ambassador = A-53-PV.8 pg022-bk02 1998-09-21 Mr. Alatas
ambassador = S-PV-4045 pg003-bk02 1999-09-15 Mr. Alatas
ambassador = A-54-PV.11 pg034-bk02 1999-09-23 Mr. Alatas
ambassador = A-50-PV.65 pg001-bk04 1995-11-17 Mr. Alhadad
ambassador = A-60-PV.42 pg011-bk02 2005-11-01 Mr. Anshor
ambassador = A-61-PV.2 pg016-bk02 2006-09-13 Mr. Anshor
ambassador = A-55-PV.39 pg021-bk01 2000-10-25 Mr. Anwar
ambassador = A-55-PV.43 pg026-bk01 2000-10-27 Mr. Anwar
ambassador = A-52-PV.82 pg007-bk11 1998-03-31 Mr. Atiyanto
ambassador = A-52-PV.82 pg008-bk10 1998-03-31 Mr. Atiyanto
ambassador = A-52-PV.88 pg008-bk11 1998-06-26 Mr. Atiyanto
ambassador = A-52-PV.88 pg011-bk01 1998-06-26 Mr. Atiyanto
ambassador = A-52-PV.88 pg019-bk03 1998-06-26 Mr. Atiyanto
ambassador = A-52-PV.92 pg010-bk05 1998-09-08 Mr. Atiyanto
ambassador = A-53-PV.93 pg010-bk01 1998-12-18 Mr. Atiyanto
ambassador = S-PV-4929 pg021-bk06 2004-03-23 Mr. Atiyanto
