minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 12/1/2/0 S-PV-4681 pg003-bk02 2002-12-20 
minorityvote = 13/1/1/0 S-PV-4563 pg003-bk02 2002-06-30 
minorityvote = 13/0/2/0 S-PV-4683 pg002-bk06 2002-12-30 
minorityvote = 14/0/1/0 S-PV-4384 pg002-bk10 2001-09-28 
minorityvote = 14/0/1/0 S-PV-4489 pg003-bk02 2002-03-12 
minorityvote = 14/0/0/1 S-PV-4503 pg035-bk01 2002-03-29 
minorityvote = 14/0/1/0 S-PV-4614-Resu.2 pg002-bk03 2002-09-24 
minorityvote = 14/1/0/0 S-PV-4667 pg002-bk08 2002-12-13 
minorityvote = 15/0/0/0 S-PV-4263 pg002-bk06 2001-01-23 
ambassador = A-55-PV.3 pg029-bk02 2000-09-06 Mr. Ahern
ambassador = A-58-PV.11 pg019-bk07 2003-09-25 Mr. Ahern
ambassador = A-58-PV.11 pg023-bk02 2003-09-25 Mr. Ahern
ambassador = A-60-PV.4 pg037-bk02 2005-09-14 Mr. Ahern
ambassador = A-60-PV.14 pg016-bk02 2005-09-19 Mr. Ahern
ambassador = A-60-PV.86 pg010-bk02 2006-06-02 Mr. Ahern
ambassador = A-61-PV.20 pg006-bk02 2006-09-26 Mr. Ahern
ambassador = A-53-PV.12 pg036-bk01 1998-09-23 Mr. Andrews
ambassador = A-54-PV.15 pg025-bk02 1999-09-25 Mr. Andrews
ambassador = A-49-PV.103 pg007-bk02 1995-05-24 Mr. Biggar
ambassador = A-51-PV.88 pg015-bk01 1996-12-17 Mr. Biggar
ambassador = A-51-PV.88 pg016-bk01 1996-12-17 Mr. Biggar
ambassador = A-58-PV.84 pg005-bk02 2004-04-14 Mr. Brennan
ambassador = A-52-PV.12 pg024-bk02 1997-09-25 Mr. Burke
ambassador = A-50-PV.59 pg015-bk01 1995-11-14 Mr. Campbell
ambassador = S-PV-3611 pg027-bk02 1995-12-20 Mr. Campbell
ambassador = S-PV-3654 pg015-bk06 1996-04-18 Mr. Campbell
ambassador = A-50-PV.120 pg001-bk05 1996-06-07 Mr. Campbell
ambassador = S-PV-3680 pg004-bk02 1996-07-12 Mr. Campbell
ambassador = S-PV-3689 pg027-bk02 1996-08-15 Mr. Campbell
ambassador = A-50-PV.123 pg006-bk04 1996-09-09 Mr. Campbell
ambassador = S-PV-3698-Resu.1 pg028-bk02 1996-09-27 Mr. Campbell
ambassador = S-PV-3702 pg028-bk02 1996-10-10 Mr. Campbell
