minorityvote = 9/3/3/0 S-PV-5619 pg006-bk02 2007-01-12 
minorityvote = 10/0/5/0 S-PV-5685 pg005-bk03 2007-05-30 
minorityvote = 105/12/44/31 A-57-PV.57 pg010-bk02 2002-11-22 Draft resolution F was adopted by 105 votes to 12, with 44 abstentions ( resolution 57/63 ).
minorityvote = 118/12/46/15 A-58-PV.71 pg010-bk10 2003-12-08 Draft resolution IX was adopted by 118 votes to 12, with 46 abstentions ( resolution 58/44 ).
minorityvote = 13/0/2/0 S-PV-3522 pg016-bk02 1995-04-21 
minorityvote = 13/0/2/0 S-PV-3543 pg017-bk02 1995-06-16 
minorityvote = 13/0/2/0 S-PV-3660 pg020-bk02 1996-04-26 
minorityvote = 13/0/2/0 S-PV-3683 pg024-bk02 1996-07-26 
minorityvote = 13/0/2/0 S-PV-3690 pg014-bk02 1996-08-16 
minorityvote = 14/0/1/0 S-PV-3487 pg021-bk02 1995-01-12 
ambassador = A-58-PV.41 pg009-bk04 2003-10-22 Mr. Alessandro
ambassador = A-58-PV.76 pg007-bk07 2003-12-19 Mr. Alessandro
ambassador = A-55-PV.5 pg031-bk02 2000-09-07 Mr. Amato
ambassador = A-57-PV.4 pg022-bk05 2002-09-13 Mr. Berlusconi
ambassador = A-60-PV.5 pg042-bk02 2005-09-15 Mr. Berlusconi
ambassador = A-58-PV.76 pg013-bk05 2003-12-19 Mr. Bernardini
ambassador = A-50-PV.52 pg024-bk04 1995-11-07 Mr. Busacca
ambassador = A-49-PV.30 pg008-bk01 1994-10-13 Mr. Caputo
ambassador = S-PV-3656 pg016-bk01 1996-04-23 Mr. Cardi
ambassador = A-58-PV.68 pg009-bk03 2003-12-03 Mr. Carnelos
ambassador = A-58-PV.68 pg012-bk04 2003-12-03 Mr. Carnelos
ambassador = A-58-PV.75 pg007-bk02 2003-12-17 Mr. Carnelos
ambassador = S-PV-3621 pg007-bk01 1996-01-25 Mr. Casardi
ambassador = S-PV-3623 pg007-bk02 1996-01-29 Mr. Casardi
ambassador = S-PV-3624 pg005-bk01 1996-01-29 Mr. Casardi
ambassador = S-PV-3672 pg003-bk02 1996-06-12 Mr. Casardi
ambassador = A-58-PV.76 pg012-bk06 2003-12-19 Mr. Cavallari
ambassador = S-PV-5632 pg009-bk02 2007-02-20 Mr. Craxi
ambassador = S-PV-5663 pg004-bk02 2007-04-17 Mr. Craxi
ambassador = S-PV-5641 pg007-bk02 2007-03-20 Mr. D'Alema
ambassador = A-51-PV.10 pg004-bk05 1996-09-26 Mr. Dini
ambassador = A-52-PV.11 pg015-bk02 1997-09-25 Mr. Dini
ambassador = A-53-PV.11 pg019-bk02 1998-09-23 Mr. Dini
ambassador = A-54-PV.8 pg019-bk02 1999-09-22 Mr. Dini
ambassador = A-55-PV.12 pg008-bk02 2000-09-13 Mr. Dini
ambassador = A-59-PV.107 pg027-bk02 2005-06-27 Mr. Drago
ambassador = A-49-PV.56 pg015-bk03 1994-11-14 Mr. Ferrarin
ambassador = A-49-PV.57 pg001-bk04 1994-11-15 Mr. Ferrarin
ambassador = A-49-PV.58 pg010-bk01 1994-11-17 Mr. Ferrarin
ambassador = S-PV-3512 pg017-bk01 1995-03-31 Mr. Ferrarin
ambassador = S-PV-3528 pg015-bk02 1995-04-28 Mr. Ferrarin
ambassador = S-PV-3535 pg005-bk02 1995-05-12 Mr. Ferrarin
ambassador = S-PV-3543 pg020-bk01 1995-06-16 Mr. Ferrarin
ambassador = S-PV-3549 pg011-bk04 1995-06-30 Mr. Ferrarin
ambassador = S-PV-3551 pg012-bk02 1995-07-05 Mr. Ferrarin
ambassador = S-PV-3553 pg005-bk03 1995-07-12 Mr. Ferrarin
ambassador = A-49-PV.108 pg004-bk05 1995-09-18 Mr. Ferrarin
ambassador = A-50-PV.55 pg005-bk01 1995-11-10 Mr. Ferrarin
ambassador = A-50-PV.68 pg005-bk01 1995-11-21 Mr. Ferrarin
ambassador = S-PV-3595 pg016-bk01 1995-11-22 Mr. Ferrarin
ambassador = S-PV-3596 pg007-bk01 1995-11-22 Mr. Ferrarin
ambassador = S-PV-3618 pg005-bk02 1996-01-12 Mr. Ferrarin
ambassador = S-PV-3619 pg006-bk02 1996-01-15 Mr. Ferrarin
ambassador = S-PV-3640 pg004-bk01 1996-03-08 Mr. Ferrarin
ambassador = S-PV-3641 pg002-bk08 1996-03-15 Mr. Ferrarin
ambassador = A-50-PV.103 pg008-bk04 1996-04-03 Mr. Ferrarin
ambassador = A-50-PV.103 pg015-bk01 1996-04-03 Mr. Ferrarin
ambassador = S-PV-3660 pg015-bk01 1996-04-26 Mr. Ferrarin
