minorityvote = 96/7/20/67 A-56-PV.86 pg004-bk07 2001-12-14 The motion for no action was carried by 96 votes to 7, with 20 abstentions.
minorityvote = 8/0/7/0 S-PV-4248 pg009-bk02 2000-12-18 
minorityvote = 9/1/4/1 S-PV-4305 pg005-bk02 2001-03-27 
minorityvote = 93/10/17/71 A-60-PV.69 pg017-bk02 2005-12-23 Operative paragraph 28 of draft resolution II was retained by 93 votes to 10, with 17 abstentions.
minorityvote = 95/11/14/71 A-60-PV.69 pg016-bk01 2005-12-23 Operative paragraph 15 (d) was retained by 95 votes to 11, with 14 abstentions.
minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 13/0/2/0 S-PV-4251 pg008-bk02 2000-12-19 
minorityvote = 14/0/0/1 S-PV-4094 pg002-bk07 2000-01-31 
minorityvote = 14/0/1/0 S-PV-4103 pg002-bk12 2000-02-17 
minorityvote = 14/0/1/0 S-PV-4162 pg003-bk02 2000-06-21 
ambassador = A-53-PV.49 pg024-bk01 1998-10-29 Miss Durant
ambassador = A-50-PV.51 pg010-bk02 1995-11-06 Miss Durrant
ambassador = A-50-PV.71 pg018-bk01 1995-11-28 Miss Durrant
ambassador = A-50-PV.85 pg011-bk03 1995-12-08 Miss Durrant
ambassador = A-50-PV.89 pg004-bk09 1995-12-12 Miss Durrant
ambassador = A-50-PV.106 pg023-bk02 1996-04-15 Miss Durrant
ambassador = A-50-PV.115 pg018-bk02 1996-04-24 Miss Durrant
ambassador = A-51-PV.52 pg015-bk01 1996-11-05 Miss Durrant
ambassador = A-51-PV.59 pg003-bk06 1996-11-19 Miss Durrant
ambassador = A-51-PV.62 pg010-bk01 1996-11-21 Miss Durrant
ambassador = A-51-PV.64 pg018-bk01 1996-11-25 Miss Durrant
ambassador = A-51-PV.75 pg018-bk02 1996-12-06 Miss Durrant
ambassador = A-51-PV.76 pg018-bk01 1996-12-09 Miss Durrant
ambassador = A-51-PV.91 pg007-bk02 1997-03-12 Miss Durrant
ambassador = A-52-PV.33 pg016-bk01 1997-10-16 Miss Durrant
ambassador = A-52-PV.57 pg001-bk04 1997-11-26 Miss Durrant
ambassador = A-52-PV.73 pg010-bk02 1997-12-16 Miss Durrant
ambassador = A-53-PV.5 pg007-bk01 1998-09-17 Miss Durrant
ambassador = A-53-PV.32 pg004-bk01 1998-10-07 Miss Durrant
ambassador = A-53-PV.37 pg011-bk02 1998-10-14 Miss Durrant
ambassador = A-53-PV.38 pg006-bk01 1998-10-15 Miss Durrant
ambassador = A-53-PV.42 pg012-bk01 1998-10-22 Miss Durrant
ambassador = A-53-PV.59 pg010-bk01 1998-11-16 Miss Durrant
ambassador = A-53-PV.68 pg022-bk02 1998-11-24 Miss Durrant
ambassador = A-54-PV.31 pg005-bk01 1999-10-08 Miss Durrant
ambassador = A-54-PV.37 pg011-bk01 1999-10-21 Miss Durrant
ambassador = A-54-PV.50 pg012-bk02 1999-11-09 Miss Durrant
ambassador = A-54-PV.61 pg015-bk01 1999-11-22 Miss Durrant
ambassador = A-54-PV.63 pg005-bk01 1999-11-24 Miss Durrant
ambassador = S-PV-4087-Resu.1 pg012-bk02 2000-01-10 Miss Durrant
ambassador = S-PV-4089 pg012-bk01 2000-01-13 Miss Durrant
ambassador = S-PV-4090 pg020-bk02 2000-01-18 Miss Durrant
ambassador = S-PV-4091 pg012-bk06 2000-01-19 Miss Durrant
ambassador = S-PV-4096 pg029-bk02 2000-01-31 Miss Durrant
ambassador = S-PV-4097 pg011-bk03 2000-02-03 Miss Durrant
ambassador = S-PV-4100 pg013-bk02 2000-02-09 Miss Durrant
ambassador = S-PV-4104 pg006-bk01 2000-02-24 Miss Durrant
