minorityvote = 156/3/10/16 A-49-PV.90 pg021-bk08 1994-12-15 The draft resolution was adopted by 156 votes to 3, with 10 abstentions ( resolution 49/72 ).
minorityvote = 154/3/9/19 A-50-PV.90 pg009-bk09 1995-12-12 The draft resolution was adopted by 154 votes to 3, with 9 abstentions ( resolution 50/67 ).
minorityvote = 156/3/8/18 A-51-PV.79 pg008-bk11 1996-12-10 The draft resolution was adopted by 156 votes to 3, with 8 abstentions ( resolution 51/42 ).
minorityvote = 153/3/8/21 A-52-PV.67 pg006-bk10 1997-12-09 The draft resolution was adopted by 153 votes to 3, with 8 abstentions ( resolution 52/35 ).
minorityvote = 109/3/61/18 A-58-PV.77 pg012-bk09 2003-12-22 Draft resolution I was adopted by 109 votes to 3, with 61 abstentions ( resolution 58/161 ).
minorityvote = 9/1/4/1 S-PV-4305 pg005-bk02 2001-03-27 
minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 12/1/2/0 S-PV-4681 pg003-bk02 2002-12-20 
minorityvote = 13/1/1/0 S-PV-4563 pg003-bk02 2002-06-30 
minorityvote = 13/0/2/0 S-PV-4683 pg002-bk06 2002-12-30 
ambassador = S-PV-4487 pg008-bk01 2002-03-11 Mr. Bhuckory
ambassador = S-PV-4506-Resu.1 pg036-bk01 2002-04-03 Mr. Bhuckory
ambassador = A-54-PV.25 pg014-bk01 1999-10-06 Mr. Bundhun
ambassador = A-59-PV.14 pg017-bk02 2004-09-28 Mr. Cuttaree
ambassador = A-59-PV.14 pg018-bk02 2004-09-28 Mr. Cuttaree
ambassador = A-59-PV.14 pg018-bk04 2004-09-28 Mr. Cuttaree
ambassador = A-55-PV.28 pg012-bk02 2000-09-22 Mr. Gayan
ambassador = A-55-PV.28 pg016-bk02 2000-09-22 Mr. Gayan
ambassador = A-55-PV.28 pg016-bk04 2000-09-22 Mr. Gayan
ambassador = S-PV-4261 pg007-bk01 2001-01-23 Mr. Gayan
ambassador = S-PV-4413 pg008-bk02 2001-11-12 Mr. Gayan
ambassador = S-PV-4414 pg013-bk02 2001-11-13 Mr. Gayan
ambassador = A-57-PV.10 pg038-bk02 2002-09-16 Mr. Gayan
ambassador = A-58-PV.50 pg016-bk01 2003-10-31 Mr. Gayan
ambassador = S-PV-4308 pg013-bk01 2001-04-05 Mr. Gokool
ambassador = S-PV-4321 pg017-bk01 2001-05-18 Mr. Gokool
ambassador = S-PV-4367 pg011-bk01 2001-09-10 Mr. Gokool
ambassador = S-PV-4379-Resu.1 pg009-bk02 2001-09-21 Mr. Gokool
ambassador = S-PV-4395 pg014-bk01 2001-10-24 Mr. Gokool
ambassador = S-PV-4430 pg010-bk02 2001-11-27 Mr. Gokool
ambassador = S-PV-4445 pg014-bk02 2001-12-21 Mr. Gokool
ambassador = S-PV-4470 pg021-bk02 2002-02-07 Mr. Gokool
ambassador = S-PV-4484 pg023-bk02 2002-03-05 Mr. Gokool
ambassador = S-PV-4492 pg012-bk03 2002-03-15 Mr. Gokool
ambassador = S-PV-4497 pg022-bk02 2002-03-26 Mr. Gokool
ambassador = S-PV-4498 pg009-bk01 2002-03-27 Mr. Gokool
ambassador = S-PV-4512 pg014-bk02 2002-04-15 Mr. Gokool
ambassador = S-PV-4518 pg021-bk01 2002-04-24 Mr. Gokool
ambassador = S-PV-4525-Resu.1 pg028-bk02 2002-05-03 Mr. Gokool
ambassador = S-PV-4541 pg014-bk01 2002-05-23 Mr. Gokool
ambassador = S-PV-4559 pg013-bk01 2002-06-26 Mr. Gokool
ambassador = S-PV-4579 pg015-bk01 2002-07-19 Mr. Gokool
ambassador = S-PV-4631 pg020-bk01 2002-10-23 Mr. Gokool
ambassador = S-PV-4642-Resu.1 pg002-bk04 2002-11-05 Mr. Gokool
ambassador = S-PV-4644 pg012-bk01 2002-11-08 Mr. Gokool
ambassador = S-PV-4646 pg010-bk02 2002-11-14 Mr. Gokool
ambassador = A-59-PV.89 pg010-bk02 2005-04-08 Mr. Hurree
ambassador = A-50-PV.27 pg016-bk02 1995-10-10 Mr. Jaddoo
ambassador = A-50-PV.27 pg019-bk02 1995-10-10 Mr. Jaddoo
ambassador = A-50-PV.27 pg019-bk04 1995-10-10 Mr. Jaddoo
ambassador = S-PV-4422-Resu.1 pg010-bk01 2001-11-20 Mr. Jingree
ambassador = S-PV-4429 pg025-bk01 2001-11-27 Mr. Jingree
ambassador = S-PV-4444 pg015-bk01 2001-12-21 Mr. Jingree
ambassador = S-PV-4507-Resu.1 pg004-bk01 2002-04-04 Mr. Jingree
ambassador = S-PV-4592 pg013-bk02 2002-07-30 Mr. Jingree
ambassador = S-PV-4655 pg009-bk02 2002-12-04 Mr. Jingree
ambassador = S-PV-4660 pg023-bk02 2002-12-10 Mr. Jingree
ambassador = A-58-PV.35 pg011-bk01 2003-10-16 Mr. Jingree
ambassador = A-59-PV.79 pg002-bk01 2005-01-19 Mr. Jingree
ambassador = A-56-PV.46 pg013-bk06 2001-11-11 Mr. Jugnauth
ambassador = A-58-PV.5 pg020-bk02 2003-09-22 Mr. Jugnauth
ambassador = S-PV-4348 pg014-bk01 2001-07-24 Mr. Koonjul
ambassador = S-PV-4350 pg013-bk01 2001-07-26 Mr. Koonjul
ambassador = S-PV-4351-Resu.1 pg005-bk01 2001-07-30 Mr. Koonjul
ambassador = S-PV-4355 pg016-bk01 2001-08-02 Mr. Koonjul
ambassador = S-PV-4357 pg021-bk02 2001-08-20 Mr. Koonjul
ambassador = S-PV-4359 pg015-bk01 2001-08-28 Mr. Koonjul
ambassador = S-PV-4361 pg009-bk01 2001-08-30 Mr. Koonjul
ambassador = S-PV-4363 pg013-bk02 2001-08-31 Mr. Koonjul
ambassador = S-PV-4370 pg003-bk01 2001-09-12 Mr. Koonjul
ambassador = S-PV-4380 pg013-bk02 2001-09-21 Mr. Koonjul
ambassador = A-56-PV.16 pg001-bk03 2001-10-03 Mr. Koonjul
ambassador = S-PV-4387 pg012-bk01 2001-10-05 Mr. Koonjul
ambassador = A-56-PV.26 pg025-bk01 2001-10-15 Mr. Koonjul
ambassador = S-PV-4392 pg017-bk01 2001-10-19 Mr. Koonjul
ambassador = S-PV-4394-Resu.1 pg005-bk01 2001-10-25 Mr. Koonjul
ambassador = S-PV-4405 pg011-bk01 2001-11-05 Mr. Koonjul
ambassador = S-PV-4418 pg012-bk01 2001-11-15 Mr. Koonjul
ambassador = S-PV-4424 pg011-bk02 2001-11-21 Mr. Koonjul
ambassador = A-56-PV.69 pg017-bk01 2001-11-29 Mr. Koonjul
ambassador = S-PV-4432 pg003-bk01 2001-11-30 Mr. Koonjul
ambassador = S-PV-4433 pg006-bk01 2001-12-05 Mr. Koonjul
ambassador = A-56-PV.78 pg024-bk01 2001-12-06 Mr. Koonjul
ambassador = A-56-PV.78 pg025-bk02 2001-12-06 Mr. Koonjul
ambassador = S-PV-4437 pg026-bk01 2001-12-14 Mr. Koonjul
ambassador = S-PV-4438 pg008-bk01 2001-12-14 Mr. Koonjul
ambassador = S-PV-4439 pg014-bk01 2001-12-18 Mr. Koonjul
ambassador = S-PV-4472 pg013-bk01 2002-02-13 Mr. Koonjul
ambassador = S-PV-4485 pg016-bk04 2002-03-06 Mr. Koonjul
ambassador = S-PV-4503 pg009-bk01 2002-03-29 Mr. Koonjul
ambassador = S-PV-4510 pg010-bk01 2002-04-08 Mr. Koonjul
ambassador = S-PV-4515-Resu.1 pg006-bk01 2002-04-19 Mr. Koonjul
