minorityvote = 12/1/2/0 S-PV-4149 pg004-bk01 2000-05-31 
minorityvote = 3/12/0/0 S-PV-3989 pg006-bk02 1999-03-26 
minorityvote = 4/10/1/0 S-PV-4164 pg003-bk02 2000-06-23 
minorityvote = 4/7/4/0 S-PV-4164 pg005-bk01 2000-06-23 
minorityvote = 8/0/7/0 S-PV-4248 pg009-bk02 2000-12-18 
minorityvote = 118/9/33/25 A-53-PV.79 pg013-bk02 1998-12-04 Draft resolution G was adopted by 118 votes to 9, with 33 abstentions ( resolution 53/77  G).
minorityvote = 11/0/3/1 S-PV-4077 pg004-bk01 1999-12-03 
minorityvote = 11/0/4/0 S-PV-4084 pg017-bk02 1999-12-17 
minorityvote = 13/1/1/0 S-PV-3982 pg005-bk01 1999-02-25 
minorityvote = 13/0/2/0 S-PV-4003 pg009-bk02 1999-05-14 
ambassador = S-PV-4087 pg013-bk01 2000-01-10 Dr. Amathila
ambassador = S-PV-4087-Resu.1 pg028-bk02 2000-01-10 Dr. Amathila
ambassador = A-51-PV.52 pg007-bk01 1996-11-05 Mr. Andjaba
ambassador = A-51-PV.52 pg008-bk02 1996-11-05 Mr. Andjaba
ambassador = A-51-PV.57 pg011-bk01 1996-11-12 Mr. Andjaba
ambassador = S-PV-3722 pg016-bk02 1996-12-11 Mr. Andjaba
ambassador = S-PV-3743 pg018-bk02 1997-02-27 Mr. Andjaba
ambassador = A-51-PV.92 pg009-bk01 1997-03-12 Mr. Andjaba
ambassador = A-52-PV.16 pg004-bk05 1997-09-29 Mr. Andjaba
ambassador = A-52-PV.42 pg010-bk02 1997-10-31 Mr. Andjaba
ambassador = S-PV-3850 pg007-bk02 1998-01-27 Mr. Andjaba
ambassador = S-PV-3864 pg061-bk04 1998-03-20 Mr. Andjaba
ambassador = S-PV-3896 pg032-bk02 1998-06-29 Mr. Andjaba
ambassador = A-53-PV.37 pg015-bk01 1998-10-14 Mr. Andjaba
ambassador = A-53-PV.43 pg014-bk01 1998-10-26 Mr. Andjaba
ambassador = A-53-PV.46 pg021-bk01 1998-10-28 Mr. Andjaba
ambassador = A-53-PV.46 pg022-bk02 1998-10-28 Mr. Andjaba
ambassador = A-53-PV.65 pg005-bk01 1998-11-20 Mr. Andjaba
ambassador = A-53-PV.70 pg006-bk01 1998-11-25 Mr. Andjaba
ambassador = A-53-PV.89 pg008-bk02 1998-12-11 Mr. Andjaba
ambassador = S-PV-3968 pg014-bk02 1999-01-21 Mr. Andjaba
ambassador = S-PV-3977 pg022-bk01 1999-02-12 Mr. Andjaba
ambassador = S-PV-3986 pg008-bk01 1999-03-11 Mr. Andjaba
ambassador = S-PV-3987 pg009-bk02 1999-03-19 Mr. Andjaba
ambassador = A-53-PV.95 pg020-bk01 1999-03-23 Mr. Andjaba
ambassador = S-PV-3988 pg010-bk01 1999-03-24 Mr. Andjaba
ambassador = S-PV-4000 pg005-bk01 1999-05-08 Mr. Andjaba
ambassador = S-PV-4003 pg006-bk02 1999-05-14 Mr. Andjaba
ambassador = S-PV-4011 pg006-bk04 1999-06-10 Mr. Andjaba
ambassador = S-PV-4020-Resu.1 pg002-bk02 1999-07-08 Mr. Andjaba
ambassador = S-PV-4025 pg007-bk02 1999-07-26 Mr. Andjaba
ambassador = S-PV-4027 pg007-bk03 1999-07-29 Mr. Andjaba
ambassador = S-PV-4046 pg014-bk01 1999-09-16 Mr. Andjaba
ambassador = S-PV-4048 pg016-bk02 1999-09-24 Mr. Andjaba
ambassador = S-PV-4049-Resu.1 pg002-bk04 1999-09-29 Mr. Andjaba
ambassador = A-54-PV.25 pg022-bk01 1999-10-06 Mr. Andjaba
ambassador = A-54-PV.30 pg010-bk01 1999-10-07 Mr. Andjaba
ambassador = S-PV-4053 pg013-bk02 1999-10-19 Mr. Andjaba
ambassador = A-54-PV.36 pg015-bk01 1999-10-20 Mr. Andjaba
ambassador = A-54-PV.50 pg012-bk01 1999-11-09 Mr. Andjaba
ambassador = A-54-PV.51 pg014-bk01 1999-11-10 Mr. Andjaba
ambassador = S-PV-4067-Resu.1 pg003-bk03 1999-11-12 Mr. Andjaba
ambassador = S-PV-4069 pg025-bk02 1999-11-15 Mr. Andjaba
ambassador = S-PV-4072 pg026-bk02 1999-11-29 Mr. Andjaba
ambassador = A-54-PV.66 pg010-bk01 1999-11-30 Mr. Andjaba
ambassador = S-PV-4077 pg006-bk01 1999-12-03 Mr. Andjaba
ambassador = A-54-PV.73 pg011-bk01 1999-12-08 Mr. Andjaba
ambassador = A-54-PV.75 pg017-bk01 1999-12-09 Mr. Andjaba
ambassador = S-PV-4080 pg002-bk06 1999-12-14 Mr. Andjaba
ambassador = S-PV-4081 pg020-bk01 1999-12-15 Mr. Andjaba
ambassador = A-54-PV.82 pg005-bk01 1999-12-16 Mr. Andjaba
ambassador = S-PV-4083 pg013-bk02 1999-12-16 Mr. Andjaba
ambassador = S-PV-4084 pg025-bk02 1999-12-17 Mr. Andjaba
ambassador = S-PV-4085 pg012-bk01 1999-12-22 Mr. Andjaba
ambassador = S-PV-4089 pg007-bk02 2000-01-13 Mr. Andjaba
ambassador = S-PV-4090 pg021-bk01 2000-01-18 Mr. Andjaba
ambassador = S-PV-4091 pg013-bk01 2000-01-19 Mr. Andjaba
ambassador = S-PV-4097 pg015-bk02 2000-02-03 Mr. Andjaba
ambassador = S-PV-4100 pg018-bk01 2000-02-09 Mr. Andjaba
ambassador = S-PV-4104 pg003-bk01 2000-02-24 Mr. Andjaba
ambassador = S-PV-4105-Resu.1 pg003-bk02 2000-02-28 Mr. Andjaba
ambassador = S-PV-4121 pg010-bk02 2000-03-29 Mr. Andjaba
ambassador = S-PV-4124 pg016-bk02 2000-04-07 Mr. Andjaba
ambassador = S-PV-4127 pg019-bk01 2000-04-14 Mr. Andjaba
ambassador = S-PV-4128 pg011-bk02 2000-04-17 Mr. Andjaba
ambassador = S-PV-4129 pg011-bk02 2000-04-18 Mr. Andjaba
ambassador = S-PV-4130 pg017-bk01 2000-04-19 Mr. Andjaba
ambassador = S-PV-4138 pg018-bk01 2000-05-11 Mr. Andjaba
ambassador = S-PV-4139 pg013-bk01 2000-05-11 Mr. Andjaba
ambassador = S-PV-4140 pg007-bk01 2000-05-12 Mr. Andjaba
ambassador = S-PV-4143 pg017-bk01 2000-05-17 Mr. Andjaba
ambassador = S-PV-4147 pg013-bk01 2000-05-25 Mr. Andjaba
ambassador = S-PV-4149 pg002-bk06 2000-05-31 Mr. Andjaba
ambassador = S-PV-4153 pg027-bk01 2000-06-09 Mr. Andjaba
ambassador = S-PV-4161 pg018-bk01 2000-06-20 Mr. Andjaba
ambassador = S-PV-4171 pg017-bk02 2000-07-13 Mr. Andjaba
ambassador = S-PV-4172 pg007-bk02 2000-07-17 Mr. Andjaba
ambassador = S-PV-4174 pg018-bk01 2000-07-20 Mr. Andjaba
ambassador = S-PV-4176 pg018-bk01 2000-07-26 Mr. Andjaba
ambassador = S-PV-4178 pg014-bk02 2000-07-27 Mr. Andjaba
ambassador = S-PV-4180 pg007-bk01 2000-07-28 Mr. Andjaba
ambassador = S-PV-4187 pg006-bk02 2000-08-14 Mr. Andjaba
ambassador = S-PV-4200 pg020-bk01 2000-09-27 Mr. Andjaba
ambassador = A-55-PV.31 pg017-bk01 2000-09-28 Mr. Andjaba
ambassador = A-55-PV.35 pg002-bk08 2000-10-17 Mr. Andjaba
ambassador = S-PV-4236 pg008-bk01 2000-11-28 Mr. Andjaba
ambassador = S-PV-4237 pg010-bk01 2000-11-28 Mr. Andjaba
ambassador = S-PV-4237 pg021-bk02 2000-11-28 Mr. Andjaba
ambassador = S-PV-4238-Resu.1 pg007-bk02 2000-11-29 Mr. Andjaba
ambassador = A-55-PV.79 pg020-bk01 2000-12-01 Mr. Andjaba
ambassador = S-PV-4248 pg005-bk02 2000-12-18 Mr. Andjaba
ambassador = S-PV-4288 pg022-bk01 2001-03-07 Mr. Andjaba
ambassador = S-PV-4317-Resu.1 pg014-bk02 2001-05-03 Mr. Andjaba
ambassador = S-PV-4323 pg015-bk02 2001-05-30 Mr. Andjaba
ambassador = S-PV-4357-Resu.2 pg006-bk04 2001-08-21 Mr. Andjaba
ambassador = S-PV-4361 pg027-bk02 2001-08-30 Mr. Andjaba
ambassador = A-56-PV.10 pg006-bk01 2001-09-25 Mr. Andjaba
