minorityvote = 104/6/53/22 A-50-PV.90 pg005-bk08 1995-12-12 The draft resolution was adopted by 104 votes to 6, with 53 abstentions ( resolution 50/62 ).
minorityvote = 136/7/29/20 A-57-PV.77 pg006-bk01 2002-12-18 Draft resolution I was adopted by 136 votes to 7, with 29 abstentions ( resolution 57/175 ).
minorityvote = 4/7/4/0 S-PV-4164 pg005-bk01 2000-06-23 
minorityvote = 119/10/38/21 A-54-PV.83 pg024-bk02 1999-12-17 Draft resolution XX as a whole was adopted by 119 votes to 10, with 38 abstentions ( resolution 54/175 ).
minorityvote = 95/10/25/61 A-60-PV.69 pg013-bk06 2005-12-23 Draft resolution IV was adopted by 95 votes to 10, with 25 abstentions ( resolution 60/229 ).
minorityvote = 4/10/1/0 S-PV-4164 pg003-bk02 2000-06-23 
minorityvote = 11/0/3/1 S-PV-4077 pg004-bk01 1999-12-03 
minorityvote = 11/0/4/0 S-PV-4084 pg017-bk02 1999-12-17 
minorityvote = 129/12/32/12 A-52-PV.70 pg018-bk06 1997-12-12 Draft resolution XVIII was adopted by 129 votes to 12, with 32 abstentions ( resolution 52/136 ).
minorityvote = 3/12/0/0 S-PV-3989 pg006-bk02 1999-03-26 
ambassador = A-51-PV.88 pg029-bk01 1996-12-17 Mr. Aquarone
ambassador = A-58-PV.3 pg024-bk01 2003-09-22 Mr. Balkenende
ambassador = A-60-PV.4 pg034-bk02 2005-09-14 Mr. Balkenende
ambassador = A-60-PV.3 pg024-bk02 2005-09-14 Mr. Belkenende
ambassador = A-51-PV.78 pg011-bk01 1996-12-10 Mr. Berteling
ambassador = S-PV-3743 pg024-bk02 1997-02-27 Mr. Berteling
ambassador = A-51-PV.94 pg012-bk01 1997-03-27 Mr. Berteling
ambassador = S-PV-3757 pg003-bk02 1997-03-27 Mr. Berteling
ambassador = S-PV-3765-Resu.1 pg002-bk05 1997-04-15 Mr. Berteling
ambassador = S-PV-3770 pg015-bk01 1997-04-23 Mr. Berteling
ambassador = A-52-PV.44 pg005-bk01 1997-11-04 Mr. Berteling
ambassador = A-49-PV.32 pg018-bk01 1994-10-14 Mr. Biegman
ambassador = A-49-PV.32 pg018-bk03 1994-10-14 Mr. Biegman
ambassador = A-49-PV.37 pg020-bk03 1994-10-19 Mr. Biegman
ambassador = A-49-PV.49 pg005-bk01 1994-11-01 Mr. Biegman
