minorityvote = 111/3/53/18 A-50-PV.99 pg014-bk03 1995-12-22 Draft resolution IV was adopted by 111 votes to 3, with 53 abstentions ( resolution 50/191 ).
minorityvote = 99/3/60/23 A-52-PV.70 pg027-bk04 1997-12-12 Draft resolution V was adopted by 99 votes to 3, with 60 abstentions ( resolution 52/141 ).
minorityvote = 103/3/56/23 A-53-PV.85 pg019-bk02 1998-12-09 Draft resolution II, as a whole, was adopted by 103 votes to 3, with 56 abstentions ( resolution 53/157 ).
minorityvote = 89/3/75/24 A-58-PV.77 pg029-bk01 2003-12-22 The fourth preambular paragraph of draft resolution IV was retained by 89 votes to 3, with 75 abstentions.
minorityvote = 127/4/42/19 A-57-PV.77 pg015-bk06 2002-12-18 Draft resolution I was adopted by 127 votes to 4, with 42 abstentions ( resolution 57/199 ).
minorityvote = 135/8/27/21 A-58-PV.77 pg008-bk05 2003-12-22 Operative paragraph 26 (b) was retained by 135 votes to 8, with 27 abstentions.
minorityvote = 118/9/33/25 A-53-PV.79 pg013-bk02 1998-12-04 Draft resolution G was adopted by 118 votes to 9, with 33 abstentions ( resolution 53/77  G).
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 12/0/2/1 S-PV-3413 pg012-bk01 1994-07-31 
minorityvote = 13/0/2/0 S-PV-3430 pg005-bk03 1994-09-29 
ambassador = A-50-PV.38 pg023-bk08 1995-10-23 Chief Ikimi
ambassador = A-51-PV.21 pg009-bk02 1996-10-03 Chief Ikimi
ambassador = S-PV-3797 pg002-bk09 1997-07-11 Chief Ikimi
ambassador = A-52-PV.7 pg023-bk02 1997-09-22 Chief Ikimi
ambassador = A-50-PV.108 pg012-bk02 1996-04-16 Chief Ogunlade
ambassador = S-PV-3583 pg015-bk01 1995-09-26 Chief Tom Ikimi
ambassador = A-50-PV.18 pg007-bk02 1995-10-04 Chief Tom Ikimi
ambassador = A-54-PV.66 pg018-bk01 1999-11-30 Mr. Abdullahi
ambassador = A-59-PV.37 pg002-bk01 2004-10-20 Mr. Abiodun
ambassador = A-49-PV.32 pg019-bk01 1994-10-14 Mr. Abiola
ambassador = A-53-PV.14 pg007-bk07 1998-09-24 Mr. Abubakar
ambassador = A-49-PV.34 pg007-bk01 1994-10-17 Mr. Adekanye
ambassador = A-50-PV.47 pg007-bk01 1995-11-01 Mr. Adekanye
ambassador = S-PV-4422-Resu.1 pg027-bk02 2001-11-20 Mr. Adekanye
ambassador = A-56-PV.70 pg009-bk01 2001-11-30 Mr. Adekanye
ambassador = A-58-PV.50 pg011-bk01 2003-10-31 Mr. Adekanye
ambassador = A-58-PV.56 pg002-bk01 2003-11-05 Mr. Adekanye
ambassador = S-PV-5005 pg009-bk04 2004-07-16 Mr. Adekanye
ambassador = A-59-PV.59 pg014-bk01 2004-11-22 Mr. Adekanye
ambassador = S-PV-5129-Resu.1 pg004-bk02 2005-02-23 Mr. Adekanye
ambassador = S-PV-5131 pg035-bk02 2005-02-25 Mr. Adekanye
ambassador = A-59-PV.87 pg014-bk01 2005-04-07 Mr. Adekanye
ambassador = S-PV-5169 pg005-bk02 2005-04-26 Mr. Adekanye
ambassador = S-PV-5187-Resu.1 pg017-bk02 2005-05-26 Mr. Adekanye
ambassador = A-59-PV.102 pg003-bk02 2005-06-13 Mr. Adekanye
ambassador = S-PV-5209 pg029-bk04 2005-06-21 Mr. Adekanye
ambassador = A-60-PV.59 pg002-bk01 2005-11-30 Mr. Adekanye
ambassador = A-60-PV.63 pg002-bk08 2005-12-15 Mr. Adekanye
ambassador = S-PV-5359-Resu.1 pg039-bk02 2006-01-27 Mr. Adekanye
ambassador = S-PV-5474-Resu.1 pg018-bk02 2006-06-22 Mr. Adekanye
ambassador = A-61-PV.75 pg014-bk01 2006-12-12 Mr. Adekanye
ambassador = S-PV-5278 pg002-bk10 2005-10-13 Mr. Adeniji
ambassador = A-57-PV.53 pg026-bk04 2002-11-20 Mr. Agabi
ambassador = A-61-PV.8 pg060-bk02 2006-09-18 Mr. Ahmed-Sambo
ambassador = A-55-PV.48 pg019-bk01 2000-11-01 Mr. Akeju
ambassador = A-54-PV.22 pg039-bk01 1999-10-02 Mr. Akinsanya
