minorityvote = 11/1/3/0 S-PV-4934 pg003-bk02 2004-03-25 
minorityvote = 11/0/4/0 S-PV-5040 pg004-bk01 2004-09-18 
minorityvote = 11/1/3/0 S-PV-5051 pg003-bk02 2004-10-05 
minorityvote = 11/0/4/0 S-PV-5158 pg002-bk08 2005-03-31 
minorityvote = 12/0/3/0 S-PV-5153 pg002-bk08 2005-03-29 
minorityvote = 13/0/2/0 S-PV-5015 pg003-bk02 2004-07-30 
minorityvote = 13/0/2/0 S-PV-5335 pg002-bk08 2005-12-20 
minorityvote = 14/1/0/0 S-PV-4947 pg002-bk08 2004-04-21 
minorityvote = 14/0/1/0 S-PV-4972 pg002-bk10 2004-05-19 
minorityvote = 15/0/0/0 S-PV-4894 pg002-bk08 2004-01-15 
ambassador = A-55-PV.44 pg015-bk01 2000-10-30 Miss Aragon
ambassador = A-49-PV.60 pg008-bk01 1994-11-18 Mr. Allarey
ambassador = A-50-PV.51 pg001-bk05 1995-11-06 Mr. Allarey
ambassador = A-56-PV.29 pg009-bk01 2001-10-22 Mr. Angara
ambassador = A-50-PV.33 pg001-bk03 1995-10-18 Mr. Arcilla
ambassador = A-49-PV.48 pg017-bk01 1994-10-31 Mr. Bagatsing
ambassador = A-56-PV.15 pg016-bk01 2001-10-02 Mr. Baja
ambassador = S-PV-4766-Resu.1 pg013-bk02 2003-05-30 Mr. Baja
ambassador = S-PV-4790 pg036-bk02 2003-07-18 Mr. Baja
ambassador = S-PV-4835 pg022-bk02 2003-09-30 Mr. Baja
ambassador = S-PV-4843 pg022-bk02 2003-10-15 Mr. Baja
ambassador = A-58-PV.50 pg007-bk02 2003-10-31 Mr. Baja
ambassador = A-58-PV.73 pg014-bk01 2003-12-10 Mr. Baja
ambassador = S-PV-4892 pg015-bk01 2004-01-12 Mr. Baja
ambassador = S-PV-4896 pg007-bk01 2004-01-19 Mr. Baja
ambassador = S-PV-4898 pg016-bk02 2004-01-20 Mr. Baja
ambassador = S-PV-4899 pg011-bk01 2004-01-23 Mr. Baja
ambassador = S-PV-4903 pg024-bk01 2004-01-26 Mr. Baja
ambassador = S-PV-4910 pg019-bk02 2004-02-06 Mr. Baja
ambassador = S-PV-4913 pg010-bk01 2004-02-20 Mr. Baja
ambassador = S-PV-4914 pg014-bk01 2004-02-24 Mr. Baja
ambassador = S-PV-4917 pg011-bk01 2004-02-26 Mr. Baja
ambassador = S-PV-4920 pg018-bk01 2004-03-03 Mr. Baja
ambassador = S-PV-4921 pg013-bk01 2004-03-04 Mr. Baja
ambassador = S-PV-4928 pg011-bk01 2004-03-18 Mr. Baja
ambassador = S-PV-4929 pg011-bk02 2004-03-23 Mr. Baja
ambassador = S-PV-4933 pg015-bk01 2004-03-25 Mr. Baja
ambassador = S-PV-4941 pg013-bk03 2004-04-06 Mr. Baja
ambassador = S-PV-4942 pg010-bk01 2004-04-13 Mr. Baja
ambassador = S-PV-4943 pg026-bk01 2004-04-15 Mr. Baja
ambassador = S-PV-4945 pg012-bk01 2004-04-19 Mr. Baja
ambassador = S-PV-4950 pg002-bk08 2004-04-22 Mr. Baja
ambassador = S-PV-4956 pg009-bk02 2004-04-28 Mr. Baja
ambassador = S-PV-4962 pg009-bk01 2004-05-06 Mr. Baja
ambassador = S-PV-4965 pg014-bk01 2004-05-10 Mr. Baja
ambassador = S-PV-4967 pg009-bk01 2004-05-11 Mr. Baja
ambassador = S-PV-4970 pg019-bk01 2004-05-17 Mr. Baja
ambassador = S-PV-4976 pg017-bk01 2004-05-25 Mr. Baja
ambassador = S-PV-4980 pg014-bk01 2004-05-28 Mr. Baja
ambassador = S-PV-5006 pg007-bk01 2004-07-19 Mr. Baja
ambassador = S-PV-5007 pg027-bk02 2004-07-20 Mr. Baja
ambassador = S-PV-5015 pg010-bk02 2004-07-30 Mr. Baja
