minorityvote = 14/1/0/0 S-PV-5500 pg002-bk08 2006-07-31 
minorityvote = 10/4/1/0 S-PV-5526 pg004-bk02 2006-09-15 
minorityvote = 10/1/4/0 S-PV-5488 pg002-bk10 2006-07-13 
minorityvote = 10/1/4/0 S-PV-5565 pg003-bk02 2006-11-11 
minorityvote = 13/0/2/0 S-PV-5440 pg002-bk08 2006-05-17 
minorityvote = 85/14/50/36 A-50-PV.99 pg017-bk04 1995-12-22 Operative paragraph 12 was adopted by 85 votes to 14, with 50 abstentions.
minorityvote = 94/15/54/22 A-50-PV.99 pg018-bk02 1995-12-22 Draft resolution X as a whole was adopted by 94 votes to 15, with 54 abstentions ( resolution 50/197 ).
minorityvote = 15/0/0/0 S-PV-5354 pg002-bk08 2006-01-24 
minorityvote = 15/0/0/0 S-PV-5359-Resu.1 pg046-bk02 2006-01-27 
minorityvote = 15/0/0/0 S-PV-5360 pg002-bk08 2006-01-31 
ambassador = A-59-PV.76 pg018-bk09 2004-12-23 Mr. Al-Ansari
ambassador = S-PV-5637 pg012-bk01 2007-03-09 Mr. Al-Ansari
ambassador = A-60-PV.68 pg018-bk04 2005-12-22 Mr. Al-Athba
ambassador = A-55-PV.60 pg001-bk03 2000-11-13 Mr. Al-Bader
ambassador = A-55-PV.60 pg002-bk02 2000-11-13 Mr. Al-Bader
ambassador = S-PV-4515 pg031-bk02 2002-04-18 Mr. Al-Bader
ambassador = A-56-PV.102 pg008-bk01 2002-06-17 Mr. Al-Bader
ambassador = S-PV-4625-Resu.2 pg024-bk02 2002-10-17 Mr. Al-Bader
ambassador = S-PV-4841 pg034-bk02 2003-10-14 Mr. Al-Bader
ambassador = A-58-PV.80 pg005-bk15 2004-02-09 Mr. Al-Bader
ambassador = A-58-PV.86 pg004-bk04 2004-05-06 Mr. Al-Bader
ambassador = A-59-PV.58 pg003-bk01 2004-11-22 Mr. Al-Bader
ambassador = A-59-PV.67 pg027-bk02 2004-12-06 Mr. Al-Bader
ambassador = A-59-PV.67 pg027-bk04 2004-12-06 Mr. Al-Bader
ambassador = A-59-PV.67 pg028-bk02 2004-12-06 Mr. Al-Bader
ambassador = A-59-PV.67 pg031-bk04 2004-12-06 Mr. Al-Bader
ambassador = S-PV-5319-Resu.1 pg011-bk01 2005-12-09 Mr. Al-Bader
ambassador = S-PV-5379 pg020-bk02 2006-02-23 Mr. Al-Bader
ambassador = S-PV-5411 pg009-bk01 2006-04-17 Mr. Al-Bader
ambassador = S-PV-5423 pg002-bk09 2006-04-25 Mr. Al-Bader
ambassador = S-PV-5446 pg013-bk01 2006-05-30 Mr. Al-Bader
ambassador = S-PV-5470 pg009-bk02 2006-06-20 Mr. Al-Bader
ambassador = S-PV-5476 pg013-bk01 2006-06-28 Mr. Al-Bader
ambassador = S-PV-5478 pg004-bk01 2006-06-29 Mr. Al-Bader
ambassador = S-PV-5481 pg009-bk02 2006-06-30 Mr. Al-Bader
ambassador = S-PV-5519 pg006-bk01 2006-08-31 Mr. Al-Bader
ambassador = S-PV-5520 pg018-bk02 2006-09-11 Mr. Al-Bader
ambassador = S-PV-5522 pg017-bk01 2006-09-13 Mr. Al-Bader
ambassador = S-PV-5523 pg008-bk01 2006-09-14 Mr. Al-Bader
ambassador = A-61-PV.8 pg050-bk02 2006-09-18 Mr. Al-Bader
ambassador = S-PV-5552 pg005-bk02 2006-10-19 Mr. Al-Bader
ambassador = S-PV-5563 pg016-bk01 2006-11-08 Mr. Al-Bader
ambassador = S-PV-5564 pg008-bk02 2006-11-09 Mr. Al-Bader
ambassador = S-PV-5571 pg016-bk01 2006-11-22 Mr. Al-Bader
