minorityvote = 139/7/20/19 A-51-PV.79 pg020-bk04 1996-12-10 Operative paragraph 3 was adopted by 139 votes to 7, with 20 abstentions.
minorityvote = 9/0/6/0 S-PV-5028 pg003-bk02 2004-09-02 
minorityvote = 11/0/4/0 S-PV-5040 pg004-bk01 2004-09-18 
minorityvote = 11/0/4/0 S-PV-5158 pg002-bk08 2005-03-31 
minorityvote = 105/12/44/31 A-57-PV.57 pg010-bk02 2002-11-22 Draft resolution F was adopted by 105 votes to 12, with 44 abstentions ( resolution 57/63 ).
minorityvote = 12/0/3/0 S-PV-5153 pg002-bk08 2005-03-29 
minorityvote = 111/13/39/25 A-54-PV.69 pg014-bk03 1999-12-01 Draft resolution G, as a whole, was adopted by 111 votes to 13, with 39 abstentions ( resolution 54/54  G).
minorityvote = 13/0/2/0 S-PV-5015 pg003-bk02 2004-07-30 
minorityvote = 13/0/2/0 S-PV-5335 pg002-bk08 2005-12-20 
minorityvote = 14/1/0/0 S-PV-4947 pg002-bk08 2004-04-21 
ambassador = S-PV-5264 pg008-bk02 2005-09-20 Mr. Baconschi
ambassador = A-60-PV.18 pg031-bk02 2005-09-21 Mr. Baconschi
ambassador = A-60-PV.18 pg031-bk04 2005-09-21 Mr. Baconschi
ambassador = A-49-PV.67 pg002-bk04 1994-11-25 Mr. Barac
ambassador = A-58-PV.5 pg021-bk02 2003-09-22 Mr. Beuran
ambassador = A-49-PV.34 pg006-bk01 1994-10-17 Mr. Chirila
ambassador = A-49-PV.51 pg034-bk02 1994-11-03 Mr. Chirila
ambassador = A-50-PV.94 pg015-bk01 1995-12-18 Mr. Chirila
ambassador = A-50-PV.42 pg025-bk02 1995-10-26 Mr. Crapatureanu
ambassador = A-55-PV.39 pg013-bk01 2000-10-25 Mr. Dacaru
ambassador = A-55-PV.45 pg008-bk01 2000-10-31 Mr. Ducaru
ambassador = A-55-PV.65 pg039-bk01 2000-11-16 Mr. Ducaru
ambassador = A-55-PV.70 pg003-bk07 2000-11-21 Mr. Ducaru
ambassador = S-PV-4257-Resu.1 pg022-bk02 2001-01-16 Mr. Ducaru
ambassador = S-PV-4272-Resu.1 pg019-bk02 2001-02-05 Mr. Ducaru
ambassador = S-PV-4283 pg037-bk02 2001-02-22 Mr. Ducaru
ambassador = A-49-PV.79 pg019-bk03 1994-12-07 Mr. Dumitriu
ambassador = A-50-PV.30 pg015-bk01 1995-10-12 Mr. Dumitriu
ambassador = A-52-PV.42 pg017-bk01 1997-10-31 Mr. Dumitriu
ambassador = A-52-PV.47 pg023-bk02 1997-11-10 Mr. Dumitriu
ambassador = S-PV-4980 pg027-bk01 2004-05-28 Mr. Dumitru
ambassador = S-PV-4999 pg024-bk01 2004-06-29 Mr. Dumitru
ambassador = S-PV-5024 pg014-bk02 2004-08-24 Mr. Dumitru
ambassador = S-PV-5025 pg021-bk01 2004-08-25 Mr. Dumitru
ambassador = S-PV-5096 pg012-bk02 2004-12-08 Mr. Dumitru
ambassador = S-PV-5100 pg020-bk01 2004-12-14 Mr. Dumitru
ambassador = S-PV-5132 pg021-bk02 2005-02-28 Mr. Dumitru
ambassador = S-PV-5169 pg011-bk01 2005-04-26 Mr. Dumitru
ambassador = S-PV-5178 pg008-bk01 2005-05-13 Mr. Dumitru
ambassador = S-PV-5225 pg026-bk01 2005-07-12 Mr. Dumitru
ambassador = S-PV-5228 pg014-bk01 2005-07-18 Mr. Dumitru
ambassador = S-PV-5246 pg006-bk02 2005-08-04 Mr. Dumitru
ambassador = S-PV-5300 pg003-bk02 2005-11-08 Mr. Dumitru
ambassador = S-PV-5331 pg015-bk01 2005-12-19 Mr. Dumitru
ambassador = A-56-PV.77 pg014-bk02 2001-12-06 Mr. Geoana
ambassador = A-57-PV.6 pg013-bk02 2002-09-14 Mr. Geoana
ambassador = A-57-PV.6 pg013-bk04 2002-09-14 Mr. Geoana
ambassador = A-58-PV.10 pg037-bk02 2003-09-24 Mr. Geoana
ambassador = A-58-PV.10 pg038-bk02 2003-09-24 Mr. Geoana
ambassador = S-PV-5041 pg013-bk02 2004-09-22 Mr. Geoana
ambassador = S-PV-5041 pg013-bk04 2004-09-22 Mr. Geoana
ambassador = S-PV-3454-Resu.2 pg004-bk02 1994-11-09 Mr. Gorita
ambassador = A-49-PV.57 pg018-bk02 1994-11-15 Mr. Gorita
ambassador = A-49-PV.63 pg001-bk03 1994-11-22 Mr. Gorita
ambassador = A-49-PV.74 pg008-bk02 1994-12-02 Mr. Gorita
ambassador = S-PV-3492-Resu.2 pg019-bk02 1995-01-19 Mr. Gorita
ambassador = S-PV-3514 pg007-bk02 1995-04-11 Mr. Gorita
ambassador = A-50-PV.55 pg020-bk01 1995-11-10 Mr. Gorita
