minorityvote = 101/14/47/23 A-50-PV.99 pg019-bk04 1995-12-22 Draft resolution XII was adopted by 101 votes to 14, with 47 abstentions ( resolution 50/199 ).
minorityvote = 81/18/64/22 A-52-PV.70 pg029-bk02 1997-12-12 Draft resolution VIII was adopted by 81 votes to 18, with 64 abstentions ( resolution 52/144 ).
minorityvote = 92/19/55/19 A-51-PV.82 pg024-bk04 1996-12-12 Draft resolution IV was adopted by 92 votes to 19, with 55 abstentions ( resolution 51/109 ).
minorityvote = 79/30/54/22 A-51-PV.82 pg023-bk02 1996-12-12 Draft resolution II was adopted by 79 votes to 30, with 54 abstentions ( resolution 51/107 ).
minorityvote = 37/31/84/33 A-49-PV.90 pg008-bk04 1994-12-15 The amendment was adopted by 37 votes to 31, with 84 abstentions.
minorityvote = 31/32/87/35 A-49-PV.90 pg008-bk02 1994-12-15 The amendment was rejected by 32 votes to 31, with 87 abstentions.
minorityvote = 74/32/56/23 A-52-PV.70 pg028-bk02 1997-12-12 Draft resolution VI was adopted by 74 votes to 32, with 56 abstentions ( resolution 52/142 ).
minorityvote = 79/37/48/26 A-56-PV.88 pg021-bk04 2001-12-19 Draft resolution VI was adopted by 79 votes to 37, with 48 abstentions ( resolution 56/175 ).
minorityvote = 104/37/29/22 A-57-PV.77 pg021-bk04 2002-12-18 Operative paragraph 6 was retained by 104 votes to 37, with 29 abstentions.
minorityvote = 37/2/100/53 A-57-PV.79 pg008-bk02 2002-12-20 The amendment contained in  document A/57/L.73  was adopted by 37 votes to 2, with 100 abstentions.
ambassador = A-50-PV.37 pg013-bk04 1995-10-23 Captain Strasser
ambassador = A-49-PV.91 pg012-bk01 1994-12-16 Mr. Bangali
ambassador = S-PV-3379 pg007-bk02 1994-05-25 Mr. Bangura
ambassador = S-PV-3492-Resu.2 pg026-bk02 1995-01-19 Mr. Bangura
ambassador = A-50-PV.82 pg018-bk02 1995-12-06 Mr. Bangura
ambassador = A-53-PV.23 pg021-bk02 1998-10-01 Mr. Banya
ambassador = A-54-PV.19 pg037-bk02 1999-09-30 Mr. Banya
ambassador = A-55-PV.23 pg001-bk08 2000-09-19 Mr. Banya
ambassador = A-58-PV.12 pg019-bk09 2003-09-25 Mr. Berewa
ambassador = A-61-PV.15 pg023-bk01 2006-09-21 Mr. Berewa
ambassador = A-49-PV.19 pg020-bk02 1994-10-05 Mr. Bundu
ambassador = A-53-PV.90 pg018-bk01 1998-12-11 Mr. Dabor
ambassador = S-PV-3986 pg003-bk01 1999-03-11 Mr. Dabor
ambassador = S-PV-4035 pg002-bk08 1999-08-20 Mr. Dabor
ambassador = A-50-PV.19 pg001-bk08 1995-10-04 Mr. Fofanah
ambassador = A-51-PV.92 pg010-bk02 1997-03-12 Mr. Jonah
ambassador = S-PV-3822 pg002-bk11 1997-10-08 Mr. Jonah
ambassador = A-61-PV.93 pg004-bk09 2007-04-05 Mr. Jonah
ambassador = A-57-PV.18 pg003-bk06 2002-09-20 Mr. Kabbah
ambassador = S-PV-4054 pg005-bk02 1999-10-22 Mr. Kamara
ambassador = S-PV-4099 pg002-bk09 2000-02-07 Mr. Kamara
ambassador = S-PV-4139 pg020-bk02 2000-05-11 Mr. Kamara
