minorityvote = 115/3/34/39 A-59-PV.76 pg009-bk02 2004-12-23 The words "corporal punishment" in operative paragraph 38 (b) of draft resolution II were retained by 115 votes to 3, with 34 abstentions.
minorityvote = 129/4/31/27 A-58-PV.77 pg009-bk02 2003-12-22 The words "corporal punishment" in operative paragraph 41 (c) were retained by 129 votes to 4, with 31 abstentions.
minorityvote = 116/4/33/38 A-59-PV.76 pg008-bk02 2004-12-23 Operative paragraph 23 (b) of draft resolution II was retained by 116 votes to 4, with 33 abstentions.
minorityvote = 135/8/27/21 A-58-PV.77 pg008-bk05 2003-12-22 Operative paragraph 26 (b) was retained by 135 votes to 8, with 27 abstentions.
minorityvote = 9/1/4/1 S-PV-4305 pg005-bk02 2001-03-27 
minorityvote = 93/10/17/71 A-60-PV.69 pg017-bk02 2005-12-23 Operative paragraph 28 of draft resolution II was retained by 93 votes to 10, with 17 abstentions.
minorityvote = 95/11/14/71 A-60-PV.69 pg016-bk01 2005-12-23 Operative paragraph 15 (d) was retained by 95 votes to 11, with 14 abstentions.
minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 12/1/2/0 S-PV-4681 pg003-bk02 2002-12-20 
minorityvote = 13/1/1/0 S-PV-4563 pg003-bk02 2002-06-30 
ambassador = S-PV-4310 pg008-bk05 2001-04-19 Mr. Bhatia
ambassador = S-PV-5432 pg023-bk01 2006-05-05 Mr. Cheok
ambassador = S-PV-5512 pg020-bk02 2006-08-15 Mr. Cheok
ambassador = A-61-PV.39 pg014-bk01 2006-10-20 Mr. Cheok
ambassador = A-61-PV.39 pg014-bk03 2006-10-20 Mr. Cheok
ambassador = A-61-PV.81 pg033-bk02 2006-12-19 Mr. Cheok
ambassador = A-49-PV.29 pg011-bk03 1994-10-13 Mr. Chew
ambassador = A-49-PV.52 pg026-bk01 1994-11-07 Mr. Chew
ambassador = A-49-PV.56 pg019-bk04 1994-11-14 Mr. Chew
ambassador = A-49-PV.86 pg006-bk01 1994-12-12 Mr. Chew
ambassador = A-49-PV.89 pg002-bk03 1994-12-15 Mr. Chew
ambassador = A-56-PV.32 pg013-bk01 2001-10-30 Mr. Chik
ambassador = A-50-PV.40 pg044-bk02 1995-10-24 Mr. Goh
ambassador = A-55-PV.5 pg029-bk02 2000-09-07 Mr. Goh
ambassador = A-55-PV.8 pg033-bk03 2000-09-08 Mr. Goh
ambassador = A-59-PV.19 pg011-bk01 2004-10-04 Mr. Gopala Menon
ambassador = A-50-PV.93 pg002-bk06 1995-12-15 Mr. Ho
ambassador = A-51-PV.46 pg007-bk01 1996-10-30 Mr. Ho
ambassador = S-PV-4647 pg008-bk02 2002-11-21 Mr. How
ambassador = A-49-PV.13 pg014-bk01 1994-09-30 Mr. Jayakumar
ambassador = A-50-PV.16 pg021-bk02 1995-10-03 Mr. Jayakumar
ambassador = A-51-PV.11 pg012-bk02 1996-09-26 Mr. Jayakumar
ambassador = A-52-PV.15 pg009-bk02 1997-09-29 Mr. Jayakumar
ambassador = A-53-PV.17 pg014-bk02 1998-09-28 Mr. Jayakumar
ambassador = A-54-PV.12 pg023-bk02 1999-09-24 Mr. Jayakumar
ambassador = A-54-PV.12 pg024-bk02 1999-09-24 Mr. Jayakumar
ambassador = A-55-PV.24 pg013-bk02 2000-09-20 Mr. Jayakumar
ambassador = S-PV-4413 pg011-bk02 2001-11-12 Mr. Jayakumar
