minorityvote = 9/3/3/0 S-PV-5619 pg006-bk02 2007-01-12 
minorityvote = 15/16/65/96 A-61-PV.2 pg015-bk02 2006-09-13 The recommendation contained in paragraph 52 of the report of the General Committee was rejected by 16 votes to 15, with 65 abstentions. 
minorityvote = 15/0/0/0 S-PV-5617 pg002-bk08 2007-01-10 
minorityvote = 15/0/0/0 S-PV-5622 pg002-bk08 2007-01-23 
minorityvote = 15/0/0/0 S-PV-5626 pg002-bk06 2007-01-30 
minorityvote = 15/0/0/0 S-PV-5630 pg002-bk08 2007-02-15 
minorityvote = 15/0/0/0 S-PV-5631 pg002-bk08 2007-02-15 
minorityvote = 15/0/0/0 S-PV-5633 pg002-bk08 2007-02-20 
minorityvote = 15/0/0/0 S-PV-5634 pg002-bk08 2007-02-22 
minorityvote = 15/0/0/0 S-PV-5645 pg002-bk08 2007-03-23 
ambassador = S-PV-4020-Resu.1 pg009-bk02 1999-07-08 Mr. Badenhorst
ambassador = A-49-PV.74 pg020-bk02 1994-12-02 Mr. Bergh
ambassador = A-50-PV.84 pg026-bk01 1995-12-07 Mr. Bergh
ambassador = A-50-PV.115 pg011-bk01 1996-04-24 Mr. Bergh
ambassador = A-51-PV.43 pg012-bk02 1996-10-29 Mr. Bergh
ambassador = A-51-PV.49 pg023-bk01 1996-11-01 Mr. Bergh
ambassador = A-51-PV.58 pg004-bk07 1996-11-14 Mr. Bergh
ambassador = A-51-PV.64 pg010-bk01 1996-11-25 Mr. Bergh
ambassador = S-PV-3769 pg006-bk02 1997-04-16 Mr. Bergh
ambassador = A-52-PV.50 pg010-bk05 1997-11-20 Mr. Bergh
ambassador = A-50-PV.90 pg038-bk10 1995-12-12 Mr. Burgh
ambassador = A-52-PV.49 pg006-bk01 1997-11-12 Mr. Du Preez
ambassador = A-49-PV.90 pg013-bk06 1994-12-15 Mr. Goosen
ambassador = A-51-PV.51 pg022-bk02 1996-11-04 Mr. Gumbi
ambassador = A-51-PV.57 pg012-bk03 1996-11-12 Mr. Gumbi
ambassador = A-51-PV.78 pg010-bk01 1996-12-10 Mr. Gumbi
ambassador = S-PV-4176-Resu.1 pg006-bk02 2000-07-26 Mr. Gumbi
ambassador = A-55-PV.68 pg011-bk01 2000-11-20 Mr. Hoffmann
ambassador = A-58-PV.64 pg016-bk01 2003-11-24 Mr. Hoffmann
ambassador = A-50-PV.48 pg013-bk02 1995-11-02 Mr. Jele
ambassador = A-50-PV.50 pg001-bk08 1995-11-06 Mr. Jele
ambassador = A-50-PV.53 pg002-bk01 1995-11-08 Mr. Jele
