minorityvote = 114/2/18/51 A-52-PV.49 pg020-bk02 1997-11-12 Operative paragraph 7 was retained by 114 votes to 2, with 18 abstentions.
minorityvote = 93/2/57/33 A-53-PV.85 pg018-bk04 1998-12-09 Operative paragraphs 4, 13, 15 and 17 of draft resolution II were retained by 93 votes to 2, with 57 abstentions.
minorityvote = 100/2/63/25 A-56-PV.88 pg021-bk02 2001-12-19 Draft resolution V was adopted by 100 votes to 2, with 63 abstentions ( resolution 56/174 ).
minorityvote = 114/3/47/21 A-49-PV.94 pg026-bk03 1994-12-23 Draft resolution VIII was adopted by 114 votes to 3, with 47 abstentions ( resolution 49/203 ).
minorityvote = 111/3/53/18 A-50-PV.99 pg014-bk03 1995-12-22 Draft resolution IV was adopted by 111 votes to 3, with 53 abstentions ( resolution 50/191 ).
minorityvote = 103/3/59/20 A-51-PV.82 pg022-bk02 1996-12-12 Draft resolution I was adopted by 103 votes to 3, with 59 abstentions ( resolution 51/106 ).
minorityvote = 99/3/60/23 A-52-PV.70 pg027-bk04 1997-12-12 Draft resolution V was adopted by 99 votes to 3, with 60 abstentions ( resolution 52/141 ).
minorityvote = 103/3/56/23 A-53-PV.85 pg019-bk02 1998-12-09 Draft resolution II, as a whole, was adopted by 103 votes to 3, with 56 abstentions ( resolution 53/157 ).
minorityvote = 100/3/53/32 A-54-PV.83 pg029-bk05 1999-12-17 Draft resolution III was adopted by 100 votes to 3, with 53 abstentions ( resolution 54/178 ).
minorityvote = 102/3/60/25 A-55-PV.81 pg022-bk08 2000-12-04 Draft resolution IV was adopted by 102 votes to 3, with 60 abstentions ( resolution 55/115 ).
ambassador = A-50-PV.91 pg002-bk07 1995-12-14 Miss Wahbi
ambassador = A-61-PV.25 pg015-bk01 2006-10-02 Mr. Abdalhaleem
ambassador = A-61-PV.29 pg021-bk01 2006-10-12 Mr. Abdalhaleem
ambassador = A-61-PV.38 pg026-bk01 2006-10-20 Mr. Abdalhaleem
ambassador = A-61-PV.50 pg023-bk03 2006-11-08 Mr. Abdalhaleem
ambassador = S-PV-5564-Resu.1 pg004-bk03 2006-11-09 Mr. Abdalhaleem
ambassador = A-60-PV.57 pg022-bk01 2005-11-29 Mr. Abdelbari
ambassador = A-50-PV.70 pg012-bk02 1995-11-27 Mr. Abdelhamid
ambassador = A-51-PV.41 pg017-bk01 1996-10-25 Mr. Abdelhamid
ambassador = A-60-PV.40 pg015-bk01 2005-10-31 Mr. Abdelmannan
ambassador = A-60-PV.64 pg018-bk03 2005-12-16 Mr. Abdelmannan
ambassador = A-60-PV.45 pg008-bk02 2005-11-08 Mr. Abdelsalam
ambassador = S-PV-5493-Resu.1 pg038-bk02 2006-07-21 Mr. Abdelsalam
ambassador = S-PV-5515 pg034-bk04 2006-08-22 Mr. Abdelsalam
ambassador = S-PV-5520 pg004-bk02 2006-09-11 Mr. Abdelsalam
ambassador = A-61-PV.41 pg012-bk01 2006-10-26 Mr. Abdelsalam
ambassador = A-54-PV.39 pg017-bk01 1999-10-26 Mr. Abdullah
ambassador = A-50-PV.111 pg001-bk05 1996-04-18 Mr. Abu Oaf
ambassador = A-49-PV.5 pg032-bk02 1994-09-26 Mr. Abu Salih
ambassador = A-49-PV.5 pg032-bk04 1994-09-26 Mr. Abu Salih
ambassador = A-49-PV.65 pg021-bk01 1994-11-23 Mr. Abuoaf
