minorityvote = 119/10/38/21 A-54-PV.83 pg024-bk02 1999-12-17 Draft resolution XX as a whole was adopted by 119 votes to 10, with 38 abstentions ( resolution 54/175 ).
minorityvote = 125/10/30/26 A-59-PV.76 pg006-bk11 2004-12-23 Draft resolution III was adopted by 125 votes to 10, with 30 abstentions ( resolution 59/260 ).
minorityvote = 95/10/25/61 A-60-PV.69 pg013-bk06 2005-12-23 Draft resolution IV was adopted by 95 votes to 10, with 25 abstentions ( resolution 60/229 ).
minorityvote = 10/0/5/0 S-PV-3826 pg009-bk02 1997-10-23 
minorityvote = 129/12/32/12 A-52-PV.70 pg018-bk06 1997-12-12 Draft resolution XVIII was adopted by 129 votes to 12, with 32 abstentions ( resolution 52/136 ).
minorityvote = 13/1/1/0 S-PV-3756 pg006-bk02 1997-03-21 
minorityvote = 13/0/2/0 S-PV-3937 pg014-bk01 1998-10-24 
minorityvote = 13/0/2/0 S-PV-3949 pg008-bk02 1998-11-25 
minorityvote = 14/1/0/0 S-PV-3730 pg017-bk01 1997-01-10 
minorityvote = 14/1/0/0 S-PV-3747 pg003-bk03 1997-03-07 
ambassador = A-55-PV.38 pg006-bk02 2000-10-20 Mr. Bergqvist
ambassador = A-56-PV.78 pg017-bk01 2001-12-06 Mr. Bergqvist
ambassador = A-57-PV.55 pg009-bk01 2002-11-21 Mr. Bergqvist
ambassador = A-50-PV.40 pg039-bk06 1995-10-24 Mr. Carlsson
ambassador = S-PV-3811 pg011-bk01 1997-08-14 Mr. Dahlgren
ambassador = S-PV-3822 pg011-bk02 1997-10-08 Mr. Dahlgren
ambassador = S-PV-3826 pg005-bk02 1997-10-23 Mr. Dahlgren
ambassador = S-PV-3831 pg003-bk02 1997-11-12 Mr. Dahlgren
ambassador = S-PV-3833 pg007-bk01 1997-11-14 Mr. Dahlgren
ambassador = A-52-PV.73 pg003-bk02 1997-12-16 Mr. Dahlgren
ambassador = S-PV-3842 pg012-bk02 1997-12-18 Mr. Dahlgren
ambassador = S-PV-3850 pg010-bk03 1998-01-27 Mr. Dahlgren
ambassador = S-PV-3853 pg007-bk01 1998-02-05 Mr. Dahlgren
ambassador = S-PV-3855 pg007-bk01 1998-02-20 Mr. Dahlgren
ambassador = S-PV-3858 pg008-bk02 1998-03-02 Mr. Dahlgren
ambassador = S-PV-3864 pg025-bk01 1998-03-20 Mr. Dahlgren
