minorityvote = 120/1/47/23 A-60-PV.68 pg015-bk03 2005-12-22 Draft resolution I was adopted by 120 votes to 1, with 47 abstentions ( resolution 60/200 ).
minorityvote = 14/1/0/0 S-PV-4667 pg002-bk08 2002-12-13 
minorityvote = 149/2/10/29 A-55-PV.69 pg019-bk02 2000-11-20 The fifth preambular paragraph was retained by 149 votes to 2, with 10 abstentions.
minorityvote = 140/2/20/30 A-57-PV.57 pg017-bk02 2002-11-22 Operative paragraph 4 (b) of draft resolution R was retained by 140 votes to 2, with 20 abstentions.
minorityvote = 159/3/2/21 A-51-PV.72 pg012-bk04 1996-12-04 Draft resolution  A/51/L.40  was adopted by 159 votes to 3, with 2 abstentions ( resolution 51/29 ).
minorityvote = 147/3/11/29 A-55-PV.69 pg019-bk04 2000-11-20 Paragraph 2 was retained by 147 votes to 3, with 11 abstentions.
minorityvote = 147/3/13/27 A-55-PV.69 pg020-bk02 2000-11-20 Paragraph 5 (b) was retained by 147 votes to 3, with 13 abstentions.
minorityvote = 97/3/77/15 A-57-PV.77 pg037-bk02 2002-12-18 Draft resolution III as a whole, as orally corrected by the Rapporteur, was adopted by 97 votes to 3, with 77 abstentions ( resolution 57/232 ).
minorityvote = 149/4/2/30 A-49-PV.91 pg008-bk04 1994-12-16 Draft resolution  A/49/L.61  was adopted by 149 votes to 4, with 2 abstentions ( resolution 49/88 ).
minorityvote = 148/4/1/32 A-50-PV.79 pg003-bk02 1995-12-04 Draft resolution  A/50/L.24  was adopted by 148 votes to 4, with 1 abstention ( resolution 50/21 ).
ambassador = A-54-PV.80 pg008-bk01 1999-12-15 Miss Rizk
ambassador = A-52-PV.73 pg019-bk01 1997-12-16 Mr. A'Ala
ambassador = A-54-PV.87 pg001-bk04 1999-12-22 Mr. A'Ala
ambassador = A-55-PV.87 pg015-bk09 2000-12-20 Mr. A'Ala
ambassador = A-49-PV.38 pg012-bk02 1994-10-19 Mr. Abdu Hadid
ambassador = A-50-PV.62 pg002-bk11 1995-11-16 Mr. Abou-Hadid
ambassador = A-50-PV.101 pg006-bk02 1996-02-28 Mr. Abou-Hadid
ambassador = A-51-PV.43 pg020-bk04 1996-10-29 Mr. Abou-Hadid
ambassador = A-51-PV.43 pg021-bk02 1996-10-29 Mr. Abou-Hadid
ambassador = A-51-PV.71 pg021-bk02 1996-12-03 Mr. Abou-Hadid
ambassador = A-51-PV.72 pg007-bk01 1996-12-04 Mr. Abou-Hadid
ambassador = A-51-PV.72 pg010-bk02 1996-12-04 Mr. Abou-Hadid
ambassador = A-51-PV.72 pg010-bk07 1996-12-04 Mr. Abou-Hadid
ambassador = A-51-PV.99 pg013-bk04 1997-05-21 Mr. Abou-Hadid
ambassador = A-51-PV.99 pg013-bk06 1997-05-21 Mr. Abou-Hadid
ambassador = A-51-PV.100 pg003-bk02 1997-05-22 Mr. Abou-Hadid
ambassador = A-52-PV.49 pg023-bk02 1997-11-12 Mr. Abou-Hadid
ambassador = A-52-PV.59 pg007-bk01 1997-12-02 Mr. Abou-Hadid
ambassador = A-52-PV.59 pg007-bk03 1997-12-02 Mr. Abou-Hadid
ambassador = A-52-PV.61 pg001-bk04 1997-12-03 Mr. Abou-Hadid
ambassador = A-52-PV.67 pg029-bk13 1997-12-09 Mr. Abou-Hadid
ambassador = S-PV-3864 pg047-bk02 1998-03-20 Mr. Abou-Hadid
ambassador = A-53-PV.51 pg018-bk01 1998-11-02 Mr. Abou-Hadid
ambassador = A-53-PV.51 pg019-bk01 1998-11-02 Mr. Abou-Hadid
ambassador = A-53-PV.51 pg022-bk03 1998-11-02 Mr. Abou-Hadid
ambassador = A-53-PV.76 pg023-bk01 1998-12-02 Mr. Abou-Hadid
ambassador = A-49-PV.83 pg021-bk04 1994-12-09 Mr. Al-Attar
ambassador = A-49-PV.88 pg010-bk03 1994-12-14 Mr. Al-Attar
ambassador = A-49-PV.91 pg007-bk01 1994-12-16 Mr. Al-Attar
ambassador = A-50-PV.82 pg016-bk06 1995-12-06 Mr. Al-Attar
ambassador = A-51-PV.60 pg004-bk05 1996-11-19 Mr. Al-Attar
ambassador = A-51-PV.83 pg022-bk02 1996-12-13 Mr. Al-Attar
ambassador = A-50-PV.120 pg006-bk12 1996-06-07 Mr. Al-Hariri
ambassador = A-50-PV.120 pg011-bk10 1996-06-07 Mr. Al-Hariri
ambassador = A-53-PV.32 pg007-bk02 1998-10-07 Mr. Al-Hariri
ambassador = A-54-PV.53 pg021-bk04 1999-11-15 Mr. Al-Hariri
ambassador = A-54-PV.70 pg027-bk04 1999-12-06 Mr. Al-Hariri
ambassador = A-55-PV.46 pg023-bk01 2000-10-31 Mr. Al-Hariri
ambassador = A-55-PV.46 pg025-bk02 2000-10-31 Mr. Al-Hariri
ambassador = A-55-PV.46 pg049-bk01 2000-10-31 Mr. Al-Hariri
ambassador = A-61-PV.62 pg010-bk01 2006-11-30 Mr. Al-Jafari
ambassador = A-61-PV.63 pg008-bk02 2006-12-01 Mr. Al-Jafari
ambassador = A-61-PV.20 pg018-bk02 2006-09-26 Mr. Al-Moualem
ambassador = A-60-PV.79 pg002-bk09 2006-05-08 Mr. Al-Nuqari
ambassador = A-49-PV.14 pg017-bk02 1994-10-03 Mr. Al-Shara
ambassador = A-49-PV.14 pg018-bk02 1994-10-03 Mr. Al-Shara
ambassador = A-50-PV.16 pg015-bk02 1995-10-03 Mr. Al-Shara
ambassador = S-PV-3698-Resu.1 pg016-bk02 1996-09-27 Mr. Al-Shara
ambassador = A-53-PV.19 pg010-bk02 1998-09-29 Mr. Al-Shara
ambassador = A-53-PV.19 pg012-bk02 1998-09-29 Mr. Al-Shara
ambassador = A-56-PV.52 pg022-bk02 2001-11-14 Mr. Al-Shara
ambassador = A-51-PV.18 pg008-bk02 1996-10-02 Mr. Al-Shara'
ambassador = A-52-PV.19 pg020-bk04 1997-10-01 Mr. Al-Shara'
ambassador = A-54-PV.18 pg015-bk02 1999-09-30 Mr. Al-Shara'
ambassador = A-54-PV.18 pg016-bk02 1999-09-30 Mr. Al-Shara'
ambassador = A-55-PV.3 pg040-bk02 2000-09-06 Mr. Al-Shara'
ambassador = A-57-PV.8 pg011-bk02 2002-09-15 Mr. Al-Shara'
ambassador = A-57-PV.8 pg013-bk02 2002-09-15 Mr. Al-Shara'
ambassador = S-PV-4707 pg009-bk02 2003-02-14 Mr. Al-Shara'
ambassador = S-PV-4714 pg010-bk02 2003-03-07 Mr. Al-Shara'
ambassador = S-PV-4721 pg008-bk02 2003-03-19 Mr. Al-Shara'
ambassador = S-PV-4833 pg010-bk02 2003-09-24 Mr. Al-Shara'
ambassador = A-58-PV.15 pg007-bk05 2003-09-29 Mr. Al-Shara'
ambassador = A-58-PV.15 pg011-bk02 2003-09-29 Mr. Al-Shara'
ambassador = A-59-PV.11 pg004-bk04 2004-09-27 Mr. Al-Shara'
ambassador = S-PV-5297 pg016-bk02 2005-10-31 Mr. Al-Shara'
ambassador = S-PV-5297 pg020-bk02 2005-10-31 Mr. Al-Shara'
ambassador = A-59-PV.31 pg023-bk01 2004-10-14 Mr. Al-Sibai
ambassador = S-PV-5446 pg035-bk04 2006-05-30 Mr. Alhariri
ambassador = S-PV-5446 pg039-bk04 2006-05-30 Mr. Alhariri
ambassador = A-61-PV.81 pg007-bk04 2006-12-19 Mr. Ali
ambassador = A-56-PV.86 pg010-bk02 2001-12-14 Mr. Atieh
ambassador = S-PV-4643 pg009-bk01 2002-11-06 Mr. Atieh
ambassador = S-PV-4652 pg013-bk01 2002-12-03 Mr. Atieh
ambassador = S-PV-4823 pg013-bk01 2003-09-12 Mr. Atieh
ambassador = S-PV-4834 pg011-bk01 2003-09-29 Mr. Atieh
ambassador = S-PV-4837 pg010-bk02 2003-10-08 Mr. Atieh
ambassador = S-PV-4843 pg016-bk01 2003-10-15 Mr. Atieh
ambassador = S-PV-4853 pg005-bk01 2003-10-30 Mr. Atieh
ambassador = S-PV-4871 pg010-bk02 2003-11-24 Mr. Atieh
ambassador = S-PV-4876 pg011-bk01 2003-12-04 Mr. Atieh
ambassador = S-PV-4881 pg007-bk02 2003-12-15 Mr. Atieh
ambassador = S-PV-4886 pg011-bk02 2003-12-17 Mr. Atieh
