minorityvote = 115/3/34/39 A-59-PV.76 pg009-bk02 2004-12-23 The words "corporal punishment" in operative paragraph 38 (b) of draft resolution II were retained by 115 votes to 3, with 34 abstentions.
minorityvote = 129/4/31/27 A-58-PV.77 pg009-bk02 2003-12-22 The words "corporal punishment" in operative paragraph 41 (c) were retained by 129 votes to 4, with 31 abstentions.
minorityvote = 116/4/33/38 A-59-PV.76 pg008-bk02 2004-12-23 Operative paragraph 23 (b) of draft resolution II was retained by 116 votes to 4, with 33 abstentions.
minorityvote = 135/8/27/21 A-58-PV.77 pg008-bk05 2003-12-22 Operative paragraph 26 (b) was retained by 135 votes to 8, with 27 abstentions.
minorityvote = 10/1/4/0 S-PV-5488 pg002-bk10 2006-07-13 
minorityvote = 10/1/4/0 S-PV-5565 pg003-bk02 2006-11-11 
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 11/0/4/0 S-PV-5158 pg002-bk08 2005-03-31 
minorityvote = 12/0/3/0 S-PV-5153 pg002-bk08 2005-03-29 
minorityvote = 12/0/3/0 S-PV-5423 pg002-bk06 2006-04-25 
ambassador = A-54-PV.48 pg022-bk01 1999-11-08 Mr. Bandora
ambassador = A-54-PV.50 pg013-bk01 1999-11-09 Mr. Bandora
ambassador = S-PV-4067-Resu.1 pg010-bk02 1999-11-12 Mr. Bandora
ambassador = A-61-PV.29 pg009-bk01 2006-10-12 Mr. Iddi
ambassador = S-PV-5584 pg011-bk01 2006-12-12 Mr. Iddi
ambassador = A-52-PV.26 pg016-bk02 1997-10-06 Mr. Jabir
ambassador = A-52-PV.32 pg005-bk01 1997-10-16 Mr. Jabir
ambassador = A-56-PV.107 pg004-bk08 2002-07-09 Mr. Kamando
ambassador = A-55-PV.28 pg007-bk02 2000-09-22 Mr. Kibelloh
ambassador = A-52-PV.5 pg021-bk04 1997-09-22 Mr. Kikwete
ambassador = A-53-PV.18 pg004-bk02 1998-09-28 Mr. Kikwete
ambassador = A-53-PV.18 pg008-bk02 1998-09-28 Mr. Kikwete
ambassador = S-PV-4049-Resu.2 pg005-bk02 1999-09-30 Mr. Kikwete
ambassador = A-55-PV.6 pg030-bk02 2000-09-07 Mr. Kikwete
ambassador = A-56-PV.50 pg010-bk04 2001-11-13 Mr. Kikwete
ambassador = A-57-PV.13 pg014-bk02 2002-09-17 Mr. Kikwete
ambassador = A-57-PV.13 pg016-bk02 2002-09-17 Mr. Kikwete
ambassador = A-58-PV.3 pg026-bk02 2003-09-22 Mr. Kikwete
ambassador = A-58-PV.20 pg011-bk02 2003-10-01 Mr. Kikwete
ambassador = A-58-PV.20 pg014-bk02 2003-10-01 Mr. Kikwete
ambassador = A-54-PV.73 pg007-bk01 1999-12-08 Mr. Kiliba
ambassador = A-59-PV.59 pg008-bk01 2004-11-22 Mr. Likwelile
ambassador = A-60-PV.86 pg009-bk02 2006-06-02 Mr. Lowassa
ambassador = A-58-PV.33 pg017-bk01 2003-10-15 Mr. Mahiga
ambassador = A-58-PV.45 pg018-bk01 2003-10-28 Mr. Mahiga
ambassador = S-PV-4852-Resu.1 pg011-bk02 2003-10-29 Mr. Mahiga
ambassador = A-58-PV.54 pg012-bk01 2003-11-04 Mr. Mahiga
ambassador = A-59-PV.36 pg006-bk01 2004-10-19 Mr. Mahiga
ambassador = A-59-PV.36 pg007-bk02 2004-10-19 Mr. Mahiga
ambassador = A-59-PV.44 pg007-bk02 2004-10-28 Mr. Mahiga
ambassador = S-PV-5110 pg024-bk01 2005-01-12 Mr. Mahiga
ambassador = S-PV-5113 pg008-bk02 2005-01-18 Mr. Mahiga
ambassador = S-PV-5127 pg010-bk01 2005-02-17 Mr. Mahiga
ambassador = S-PV-5130 pg016-bk01 2005-02-24 Mr. Mahiga
ambassador = S-PV-5131 pg012-bk02 2005-02-25 Mr. Mahiga
ambassador = S-PV-5132 pg017-bk01 2005-02-28 Mr. Mahiga
ambassador = S-PV-5147 pg007-bk01 2005-03-23 Mr. Mahiga
ambassador = S-PV-5152 pg013-bk02 2005-03-28 Mr. Mahiga
ambassador = S-PV-5153 pg005-bk01 2005-03-29 Mr. Mahiga
ambassador = S-PV-5156 pg027-bk02 2005-03-30 Mr. Mahiga
ambassador = S-PV-5158 pg009-bk02 2005-03-31 Mr. Mahiga
ambassador = A-59-PV.90 pg024-bk01 2005-04-08 Mr. Mahiga
