minorityvote = 26/93/37/29 A-50-PV.49 pg006-bk04 1995-11-02 The amendment was rejected by 93 votes to 26, with 37 abstentions.
minorityvote = 1/29/81/74 A-52-PV.55 pg002-bk04 1997-11-25 The motion was rejected by 29 votes to 1, with 81 abstentions.
minorityvote = 31/32/87/35 A-49-PV.90 pg008-bk02 1994-12-15 The amendment was rejected by 32 votes to 31, with 87 abstentions.
minorityvote = 1/32/96/56 A-53-PV.80 pg026-bk01 1998-12-07 The motion for no action on amendment  A/53/L.61  was rejected by 32 votes to 1, with 96 abstentions.
minorityvote = 84/34/37/36 A-59-PV.82 pg002-bk04 2005-03-08 Draft resolution  A/59/516/Add.1  was adopted by 84 votes to 34, with 37 abstentions ( resolution 59/280 ).
minorityvote = 100/35/29/21 A-50-PV.49 pg008-bk02 1995-11-02 Draft resolution  A/50/L.6/Rev.1  as a whole, as amended ( resolution 50/11 ) was adopted by 100 votes to 35, with 29 abstentions.
minorityvote = 97/36/29/23 A-50-PV.49 pg007-bk06 1995-11-02 Operative paragraph 3 of draft resolution  A/50/L.6/Rev.1  was adopted by 97 votes to 36, with 29 abstentions.
minorityvote = 37/88/28/32 A-50-PV.49 pg006-bk02 1995-11-02 The amendment was rejected by 88 votes to 37, with 28 abstentions.
minorityvote = 43/1/103/38 A-51-PV.81 pg024-bk02 1996-12-12 The amendment was adopted by 43 votes to 1, with 103 abstentions.
minorityvote = 50/0/34/106 A-56-PV.37 pg026-bk02 2001-11-05 Operative paragraph 1 of draft resolution  A/56/L.8  was adopted by 50 votes to none, with 34 abstentions.
ambassador = A-59-PV.31 pg049-bk01 2004-10-14 Miss Lohpechra
ambassador = A-59-PV.82 pg005-bk03 2005-03-08 Mr. Boonpracong
ambassador = A-60-PV.38 pg014-bk01 2005-10-26 Mr. Boonpracong
ambassador = A-60-PV.52 pg021-bk01 2005-11-14 Mr. Boonpracong
ambassador = A-50-PV.108 pg020-bk02 1996-04-16 Mr. Boonprakob
ambassador = A-49-PV.45 pg021-bk01 1994-10-26 Mr. Bunnag
ambassador = A-58-PV.35 pg024-bk02 2003-10-16 Mr. Chaimongkol
ambassador = A-58-PV.40 pg004-bk01 2003-10-22 Mr. Chaimongkol
ambassador = A-58-PV.58 pg002-bk01 2003-11-06 Mr. Chaimongkol
ambassador = A-58-PV.74 pg012-bk01 2003-12-10 Mr. Chaimongkol
ambassador = A-60-PV.28 pg004-bk02 2005-10-06 Mr. Chaimongkol
ambassador = A-60-PV.28 pg004-bk04 2005-10-06 Mr. Chaimongkol
ambassador = A-61-PV.79 pg021-bk06 2006-12-14 Mr. Chaimongkol
ambassador = A-59-PV.77 pg010-bk01 2005-01-18 Mr. Chaimongkul
ambassador = A-52-PV.16 pg012-bk02 1997-09-29 Mr. Chaiyasan
ambassador = A-52-PV.16 pg012-bk04 1997-09-29 Mr. Chaiyasan
ambassador = A-54-PV.25 pg002-bk01 1999-10-06 Mr. Chandraprasert
ambassador = A-60-PV.86 pg015-bk02 2006-06-02 Mr. Charoenratanakul
ambassador = A-54-PV.70 pg025-bk04 1999-12-06 Mr. Chindawongse
ambassador = A-58-PV.70 pg005-bk01 2003-12-05 Mr. Chindawongse
ambassador = A-58-PV.72 pg022-bk03 2003-12-09 Mr. Chindawongse
ambassador = A-50-PV.49 pg005-bk01 1995-11-02 Mr. Chinvanno
ambassador = A-52-PV.55 pg011-bk01 1997-11-25 Mr. Chinvanno
ambassador = A-49-PV.92 pg022-bk14 1994-12-19 Mr. Chiranond
ambassador = A-56-PV.55 pg036-bk02 2001-11-15 Mr. Guna-Kasem
ambassador = A-61-PV.4 pg036-bk02 2006-09-14 Mr. Guna-Kasem
ambassador = A-50-PV.124 pg012-bk02 1996-09-10 Mr. Jayanama
ambassador = A-51-PV.37 pg017-bk01 1996-10-16 Mr. Jayanama
ambassador = A-52-PV.33 pg012-bk01 1997-10-16 Mr. Jayanama
ambassador = A-52-PV.61 pg010-bk02 1997-12-03 Mr. Jayanama
ambassador = A-53-PV.5 pg012-bk02 1998-09-17 Mr. Jayanama
ambassador = A-53-PV.60 pg002-bk01 1998-11-17 Mr. Jayanama
ambassador = A-53-PV.79 pg030-bk02 1998-12-04 Mr. Jayanama
ambassador = A-54-PV.43 pg001-bk06 1999-10-29 Mr. Jayanama
ambassador = A-54-PV.57 pg006-bk01 1999-11-18 Mr. Jayanama
ambassador = A-55-PV.50 pg006-bk01 2000-11-02 Mr. Jayanama
ambassador = S-PV-4223-Resu.1 pg010-bk03 2000-11-15 Mr. Jayanama
ambassador = A-55-PV.66 pg002-bk01 2000-11-17 Mr. Jayanama
ambassador = A-55-PV.94 pg011-bk01 2001-03-09 Mr. Jayanama
ambassador = S-PV-4351-Resu.1 pg021-bk02 2001-07-30 Mr. Jayanama
ambassador = A-56-PV.35 pg017-bk01 2001-10-31 Mr. Kasemsarn
ambassador = S-PV-4403-Resu.1 pg011-bk02 2001-10-31 Mr. Kasemsarn
ambassador = A-56-PV.59 pg016-bk01 2001-11-19 Mr. Kasemsarn
ambassador = A-56-PV.60 pg010-bk01 2001-11-21 Mr. Kasemsarn
ambassador = S-PV-4522-Resu.1 pg011-bk02 2002-04-29 Mr. Kasemsarn
ambassador = S-PV-4537 pg015-bk02 2002-05-20 Mr. Kasemsarn
ambassador = A-56-PV.103 pg019-bk01 2002-06-18 Mr. Kasemsarn
ambassador = S-PV-4568 pg029-bk04 2002-07-10 Mr. Kasemsarn
