minorityvote = 36/1/62/86 A-51-PV.89 pg006-bk11 1996-12-18 Section IV was adopted by 36 votes to 1, with 62 abstentions.
minorityvote = 102/1/12/70 A-51-PV.89 pg007-bk02 1996-12-18 The draft resolution as a whole was adopted by 102 votes to 1, with 12 abstentions ( resolution 51/217 ).
minorityvote = 4/10/1/0 S-PV-4164 pg003-bk02 2000-06-23 
minorityvote = 4/7/4/0 S-PV-4164 pg005-bk01 2000-06-23 
minorityvote = 8/0/7/0 S-PV-4248 pg009-bk02 2000-12-18 
minorityvote = 12/1/2/0 S-PV-4149 pg004-bk01 2000-05-31 
minorityvote = 12/1/2/0 S-PV-4438 pg029-bk02 2001-12-14 
minorityvote = 13/0/2/0 S-PV-4251 pg008-bk02 2000-12-19 
minorityvote = 14/0/0/1 S-PV-4094 pg002-bk07 2000-01-31 
minorityvote = 14/0/1/0 S-PV-4103 pg002-bk12 2000-02-17 
ambassador = A-51-PV.89 pg006-bk09 1996-12-18 Mr. Bogayevskiy
ambassador = A-51-PV.104 pg010-bk01 1997-07-16 Mr. Bohaievs'ky
ambassador = A-52-PV.49 pg011-bk01 1997-11-12 Mr. Bohaievs'ky
ambassador = A-52-PV.55 pg012-bk02 1997-11-25 Mr. Bohaievs'ky
ambassador = A-52-PV.60 pg010-bk01 1997-12-03 Mr. Bohaievs'ky
ambassador = A-52-PV.73 pg007-bk02 1997-12-16 Mr. Bohaievs'ky
ambassador = A-52-PV.73 pg017-bk14 1997-12-16 Mr. Bohaievs'ky
ambassador = A-53-PV.58 pg012-bk01 1998-11-16 Mr. Bohaievs'ky
ambassador = S-PV-3689 pg036-bk02 1996-08-15 Mr. Bohayevsky
ambassador = A-51-PV.43 pg003-bk01 1996-10-29 Mr. Bohayevsky
ambassador = A-51-PV.63 pg001-bk03 1996-11-21 Mr. Bohayevsky
ambassador = A-51-PV.67 pg015-bk01 1996-11-27 Mr. Bohayevsky
ambassador = A-51-PV.86 pg015-bk01 1996-12-16 Mr. Bohayevsky
ambassador = A-53-PV.5 pg030-bk02 1998-09-17 Mr. Brodsky
ambassador = A-56-PV.40 pg025-bk01 2001-11-08 Mr. Datsenko
ambassador = A-50-PV.65 pg014-bk01 1995-11-17 Mr. Goumenny
ambassador = A-50-PV.100 pg006-bk13 1995-12-23 Mr. Goumenny
ambassador = A-50-PV.100 pg006-bk15 1995-12-23 Mr. Goumenny
ambassador = A-50-PV.100 pg006-bk17 1995-12-23 Mr. Goumenny
ambassador = A-51-PV.89 pg001-bk04 1996-12-18 Mr. Goumenny
ambassador = A-59-PV.12 pg020-bk02 2004-09-27 Mr. Gryshchenko
ambassador = S-PV-4429 pg028-bk01 2001-11-27 Mr. Herasymenko
ambassador = A-56-PV.67 pg006-bk01 2001-11-28 Mr. Herasymenko
ambassador = A-59-PV.19 pg020-bk01 2004-10-04 Mr. Herasymenko
ambassador = A-60-PV.52 pg005-bk01 2005-11-14 Mr. Holosha
ambassador = A-50-PV.91 pg013-bk01 1995-12-14 Mr. Horin
ambassador = A-51-PV.73 pg002-bk01 1996-12-05 Mr. Horin
ambassador = A-51-PV.87 pg006-bk02 1996-12-17 Mr. Horin
ambassador = A-49-PV.33 pg017-bk01 1994-10-17 Mr. Hudyma
ambassador = A-49-PV.107 pg018-bk04 1995-09-14 Mr. Hudyma
ambassador = A-50-PV.46 pg019-bk01 1995-11-01 Mr. Hudyma
ambassador = A-50-PV.52 pg022-bk02 1995-11-07 Mr. Hudyma
ambassador = A-50-PV.70 pg020-bk01 1995-11-27 Mr. Hudyma
ambassador = A-51-PV.95 pg001-bk04 1997-04-03 Mr. Humenny
ambassador = A-51-PV.96 pg006-bk06 1997-04-18 Mr. Humenny
ambassador = A-51-PV.101 pg004-bk06 1997-06-13 Mr. Humenny
ambassador = A-51-PV.107 pg011-bk18 1997-09-15 Mr. Hummeny
ambassador = A-61-PV.38 pg015-bk04 2006-10-20 Mr. Khandogiy
ambassador = S-PV-3342 pg011-bk02 1994-03-02 Mr. Khandogy
ambassador = A-49-PV.31 pg006-bk01 1994-10-14 Mr. Khandogy
ambassador = A-60-PV.77 pg008-bk02 2006-04-28 Mr. Kholosha
ambassador = A-51-PV.83 pg016-bk01 1996-12-13 Mr. Koziy
ambassador = A-54-PV.64 pg003-bk03 1999-11-29 Mr. Krokhmal
ambassador = A-54-PV.67 pg004-bk01 1999-11-30 Mr. Krokhmal
ambassador = A-54-PV.72 pg004-bk01 1999-12-07 Mr. Krokhmal
ambassador = S-PV-4133 pg013-bk02 2000-04-27 Mr. Krokhmal
ambassador = S-PV-4140 pg009-bk02 2000-05-12 Mr. Krokhmal
ambassador = S-PV-4147 pg014-bk02 2000-05-25 Mr. Krokhmal
ambassador = S-PV-4165 pg018-bk01 2000-06-27 Mr. Krokhmal
ambassador = S-PV-4176 pg020-bk02 2000-07-26 Mr. Krokhmal
ambassador = S-PV-4180 pg015-bk02 2000-07-28 Mr. Krokhmal
ambassador = S-PV-4191 pg015-bk01 2000-08-29 Mr. Krokhmal
ambassador = S-PV-4203 pg015-bk02 2000-09-29 Mr. Krokhmal
ambassador = S-PV-4208 pg028-bk02 2000-10-24 Mr. Krokhmal
ambassador = A-55-PV.52 pg013-bk01 2000-11-06 Mr. Krokhmal
ambassador = S-PV-4220 pg014-bk02 2000-11-13 Mr. Krokhmal
ambassador = S-PV-4227 pg013-bk02 2000-11-17 Mr. Krokhmal
ambassador = A-55-PV.72 pg003-bk01 2000-11-27 Mr. Krokhmal
ambassador = S-PV-4238-Resu.1 pg004-bk02 2000-11-29 Mr. Krokhmal
ambassador = S-PV-4251 pg006-bk03 2000-12-19 Mr. Krokhmal
ambassador = S-PV-4265-Resu.1 pg015-bk01 2001-01-26 Mr. Krokhmal
ambassador = S-PV-4283 pg015-bk02 2001-02-22 Mr. Krokhmal
ambassador = A-55-PV.94 pg011-bk02 2001-03-09 Mr. Krokhmal
ambassador = S-PV-4317 pg018-bk01 2001-05-03 Mr. Krokhmal
ambassador = S-PV-4319 pg028-bk02 2001-05-14 Mr. Krokhmal
ambassador = S-PV-4321 pg023-bk01 2001-05-18 Mr. Krokhmal
ambassador = S-PV-4348 pg023-bk01 2001-07-24 Mr. Krokhmal
ambassador = S-PV-4359 pg009-bk01 2001-08-28 Mr. Krokhmal
ambassador = S-PV-4392 pg010-bk01 2001-10-19 Mr. Krokhmal
ambassador = A-56-PV.30 pg028-bk02 2001-10-22 Mr. Krokhmal
ambassador = S-PV-4395 pg020-bk01 2001-10-24 Mr. Krokhmal
ambassador = S-PV-4403-Resu.1 pg004-bk01 2001-10-31 Mr. Krokhmal
ambassador = A-56-PV.59 pg001-bk03 2001-11-19 Mr. Krokhmal
ambassador = S-PV-4422 pg013-bk01 2001-11-20 Mr. Krokhmal
ambassador = A-56-PV.78 pg015-bk01 2001-12-06 Mr. Krokhmal
ambassador = A-56-PV.82 pg004-bk01 2001-12-10 Mr. Krokhmal
ambassador = A-56-PV.83 pg021-bk01 2001-12-11 Mr. Krokhmal
ambassador = A-56-PV.91 pg014-bk01 2001-12-21 Mr. Krokhmal
ambassador = A-58-PV.51 pg016-bk01 2003-10-31 Mr. Kryzhanivsky
ambassador = A-58-PV.55 pg002-bk01 2003-11-04 Mr. Kryzhanivsky
ambassador = A-58-PV.56 pg012-bk01 2003-11-05 Mr. Kryzhanivsky
ambassador = A-59-PV.35 pg021-bk01 2004-10-19 Mr. Kryzhanivsky
ambassador = A-59-PV.38 pg020-bk01 2004-10-21 Mr. Kryzhanivsky
ambassador = A-60-PV.40 pg018-bk01 2005-10-31 Mr. Kryzhanivsky
ambassador = A-60-PV.55 pg009-bk01 2005-11-28 Mr. Kryzhanivsky
ambassador = S-PV-5390 pg028-bk02 2006-03-20 Mr. Kryzhanivskyi
ambassador = A-61-PV.2 pg009-bk04 2006-09-13 Mr. Kryzhanivskyi
ambassador = A-61-PV.2 pg013-bk07 2006-09-13 Mr. Kryzhanivskyi
ambassador = A-61-PV.2 pg014-bk06 2006-09-13 Mr. Kryzhanivskyi
ambassador = S-PV-5522 pg024-bk02 2006-09-13 Mr. Kryzhanivskyi
ambassador = A-61-PV.27 pg011-bk01 2006-10-09 Mr. Kryzhanivskyi
ambassador = A-61-PV.43 pg012-bk01 2006-10-30 Mr. Kryzhanivskyi
ambassador = A-61-PV.56 pg011-bk01 2006-11-20 Mr. Kryzhanivskyi
ambassador = A-61-PV.72 pg007-bk01 2006-12-11 Mr. Kryzhanivskyi
ambassador = S-PV-5588 pg022-bk02 2006-12-13 Mr. Kryzhanivskyi
ambassador = S-PV-5663-Resu.1 pg003-bk02 2007-04-17 Mr. Kryzhanivskyi
ambassador = A-54-PV.100 pg010-bk03 2000-09-05 Mr. Kuchinsky
ambassador = S-PV-4308 pg008-bk01 2001-04-05 Mr. Kuchinsky
ambassador = S-PV-4310 pg005-bk02 2001-04-19 Mr. Kuchinsky
ambassador = S-PV-4312 pg010-bk01 2001-04-23 Mr. Kuchinsky
ambassador = S-PV-4323-Resu.1 pg004-bk02 2001-05-30 Mr. Kuchinsky
ambassador = S-PV-4325 pg004-bk02 2001-06-05 Mr. Kuchinsky
ambassador = S-PV-4327 pg013-bk01 2001-06-13 Mr. Kuchinsky
ambassador = S-PV-4330 pg013-bk01 2001-06-15 Mr. Kuchinsky
ambassador = S-PV-4334 pg019-bk02 2001-06-21 Mr. Kuchinsky
ambassador = S-PV-4335 pg009-bk02 2001-06-22 Mr. Kuchinsky
ambassador = S-PV-4340 pg012-bk01 2001-06-28 Mr. Kuchinsky
ambassador = S-PV-4343 pg010-bk01 2001-06-29 Mr. Kuchinsky
ambassador = S-PV-4355 pg020-bk02 2001-08-02 Mr. Kuchinsky
ambassador = S-PV-4361 pg018-bk01 2001-08-30 Mr. Kuchinsky
ambassador = S-PV-4363 pg007-bk04 2001-08-31 Mr. Kuchinsky
ambassador = S-PV-4367 pg012-bk01 2001-09-10 Mr. Kuchinsky
ambassador = S-PV-4370 pg003-bk03 2001-09-12 Mr. Kuchinsky
ambassador = S-PV-4379 pg012-bk01 2001-09-21 Mr. Kuchinsky
ambassador = S-PV-4380 pg006-bk01 2001-09-21 Mr. Kuchinsky
ambassador = A-56-PV.7 pg013-bk01 2001-09-24 Mr. Kuchinsky
ambassador = A-56-PV.12 pg015-bk01 2001-10-01 Mr. Kuchinsky
ambassador = S-PV-4387 pg018-bk01 2001-10-05 Mr. Kuchinsky
ambassador = A-56-PV.27 pg005-bk01 2001-10-16 Mr. Kuchinsky
ambassador = S-PV-4394 pg009-bk01 2001-10-22 Mr. Kuchinsky
ambassador = A-56-PV.34 pg014-bk01 2001-10-31 Mr. Kuchinsky
ambassador = S-PV-4405 pg006-bk01 2001-11-05 Mr. Kuchinsky
ambassador = S-PV-4418 pg008-bk01 2001-11-15 Mr. Kuchinsky
ambassador = S-PV-4424 pg004-bk02 2001-11-21 Mr. Kuchinsky
ambassador = S-PV-4432 pg015-bk01 2001-11-30 Mr. Kuchinsky
ambassador = S-PV-4433 pg004-bk01 2001-12-05 Mr. Kuchinsky
ambassador = S-PV-4437 pg028-bk01 2001-12-14 Mr. Kuchinsky
ambassador = S-PV-4438 pg010-bk01 2001-12-14 Mr. Kuchinsky
ambassador = A-56-PV.89 pg018-bk01 2001-12-20 Mr. Kuchinsky
ambassador = S-PV-4444 pg008-bk01 2001-12-21 Mr. Kuchinsky
ambassador = S-PV-4445 pg005-bk01 2001-12-21 Mr. Kuchinsky
ambassador = S-PV-4454 pg021-bk02 2002-01-21 Mr. Kuchinsky
ambassador = S-PV-4460-Resu.2 pg009-bk02 2002-01-30 Mr. Kuchinsky
ambassador = S-PV-4478-Resu.1 pg005-bk02 2002-02-27 Mr. Kuchinsky
ambassador = S-PV-4484 pg033-bk02 2002-03-05 Mr. Kuchinsky
ambassador = S-PV-4506 pg007-bk02 2002-04-03 Mr. Kuchinsky
ambassador = S-PV-4512 pg023-bk02 2002-04-15 Mr. Kuchinsky
ambassador = S-PV-4518 pg026-bk04 2002-04-24 Mr. Kuchinsky
ambassador = S-PV-4522-Resu.1 pg010-bk02 2002-04-29 Mr. Kuchinsky
ambassador = S-PV-4537 pg007-bk02 2002-05-20 Mr. Kuchinsky
ambassador = S-PV-4538-Resu.1 pg019-bk02 2002-05-22 Mr. Kuchinsky
ambassador = S-PV-4568-Resu.1 pg003-bk03 2002-07-10 Mr. Kuchinsky
ambassador = S-PV-4579-Resu.1 pg007-bk02 2002-07-19 Mr. Kuchinsky
ambassador = S-PV-4605 pg019-bk02 2002-09-05 Mr. Kuchinsky
ambassador = A-57-PV.1 pg007-bk04 2002-09-10 Mr. Kuchinsky
ambassador = A-57-PV.20 pg004-bk04 2002-09-27 Mr. Kuchinsky
ambassador = A-57-PV.25 pg017-bk02 2002-10-07 Mr. Kuchinsky
ambassador = S-PV-4618-Resu.2 pg007-bk02 2002-10-08 Mr. Kuchinsky
ambassador = S-PV-4623-Resu.1 pg005-bk04 2002-10-11 Mr. Kuchinsky
ambassador = A-57-PV.29 pg013-bk01 2002-10-15 Mr. Kuchinsky
ambassador = S-PV-4625-Resu.1 pg003-bk02 2002-10-16 Mr. Kuchinsky
ambassador = A-57-PV.41 pg016-bk01 2002-10-31 Mr. Kuchinsky
ambassador = S-PV-4643 pg020-bk02 2002-11-06 Mr. Kuchinsky
ambassador = S-PV-4646-Resu.1 pg002-bk05 2002-11-14 Mr. Kuchinsky
ambassador = A-57-PV.72 pg012-bk02 2002-12-10 Mr. Kuchinsky
ambassador = S-PV-4684-Resu.1 pg013-bk02 2003-01-14 Mr. Kuchinsky
ambassador = S-PV-4709 pg026-bk06 2003-02-18 Mr. Kuchinsky
ambassador = S-PV-4710 pg021-bk02 2003-02-20 Mr. Kuchinsky
ambassador = S-PV-4774-Resu.1 pg010-bk02 2003-06-17 Mr. Kuchinsky
ambassador = S-PV-4792 pg023-bk02 2003-07-23 Mr. Kuchinsky
ambassador = S-PV-4798 pg029-bk02 2003-07-29 Mr. Kuchinsky
ambassador = A-58-PV.28 pg022-bk01 2003-10-13 Mr. Kuchinsky
ambassador = A-58-PV.33 pg004-bk01 2003-10-15 Mr. Kuchinsky
ambassador = S-PV-4852-Resu.1 pg013-bk02 2003-10-29 Mr. Kuchinsky
ambassador = S-PV-4853 pg022-bk02 2003-10-30 Mr. Kuchinsky
ambassador = A-58-PV.64 pg005-bk01 2003-11-24 Mr. Kuchinsky
ambassador = A-58-PV.69 pg020-bk01 2003-12-05 Mr. Kuchinsky
ambassador = S-PV-4877 pg028-bk02 2003-12-09 Mr. Kuchinsky
ambassador = A-58-PV.73 pg009-bk01 2003-12-10 Mr. Kuchinsky
ambassador = S-PV-4921 pg025-bk02 2004-03-04 Mr. Kuchinsky
ambassador = S-PV-4967 pg023-bk04 2004-05-11 Mr. Kuchinsky
