minorityvote = 83/7/81/21 A-57-PV.77 pg034-bk06 2002-12-18 Operative paragraph 4 (a) of draft resolution III was retained by 83 votes to 7, with 81 abstentions.
minorityvote = 82/7/83/20 A-57-PV.77 pg035-bk02 2002-12-18 Operative paragraph 4 (b) of draft resolution III was retained by 82 votes to 7, with 83 abstentions.
minorityvote = 84/7/80/21 A-57-PV.77 pg036-bk02 2002-12-18 Operative paragraph 4 (e) of draft resolution III was retained by 84 votes to 7, with 80 abstentions.
minorityvote = 85/7/79/21 A-57-PV.77 pg036-bk04 2002-12-18 Operative paragraph 4 (f) of draft resolution III was retained by 85 votes to 7, with 79 abstentions.
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 86/11/26/69 A-57-PV.47 pg009-bk02 2002-11-11 The motion for no action was carried by 86 votes to 11, with 26 abstentions.
minorityvote = 101/13/49/22 A-49-PV.94 pg024-bk06 1994-12-23 Draft resolution III was adopted by 101 votes to 13, with 49 abstentions ( resolution 49/198 ).
minorityvote = 85/14/50/36 A-50-PV.99 pg017-bk04 1995-12-22 Operative paragraph 12 was adopted by 85 votes to 14, with 50 abstentions.
minorityvote = 87/15/50/33 A-50-PV.99 pg016-bk08 1995-12-22 Operative paragraph 2 was adopted by 87 votes to 15, with 50 abstentions.
minorityvote = 94/15/54/22 A-50-PV.99 pg018-bk02 1995-12-22 Draft resolution X as a whole was adopted by 94 votes to 15, with 54 abstentions ( resolution 50/197 ).
ambassador = A-58-PV.4 pg012-bk02 2003-09-22 Mr. Dy Nien
ambassador = A-55-PV.52 pg020-bk01 2000-11-06 Mr. Hoang Chi Trung
ambassador = A-61-PV.61 pg009-bk01 2006-11-30 Mr. Hoang Chi Trung
ambassador = A-61-PV.73 pg013-bk01 2006-12-11 Mr. Hoang Chi Trung
ambassador = A-61-PV.86 pg027-bk01 2007-02-06 Mr. Hoang Chi Trung
ambassador = S-PV-5679 pg033-bk02 2007-05-22 Mr. Hoang Chi Trung
ambassador = A-50-PV.51 pg016-bk02 1995-11-06 Mr. Le Buu
ambassador = A-59-PV.12 pg028-bk02 2004-09-27 Mr. Le Cong Phung
ambassador = A-61-PV.19 pg032-bk02 2006-09-25 Mr. Le Cong Phung
ambassador = A-58-PV.82 pg010-bk04 2004-04-07 Mr. Le Luong Minh
ambassador = A-59-PV.18 pg023-bk01 2004-10-04 Mr. Le Luong Minh
ambassador = A-59-PV.26 pg004-bk01 2004-10-12 Mr. Le Luong Minh
ambassador = A-59-PV.31 pg050-bk01 2004-10-14 Mr. Le Luong Minh
ambassador = A-59-PV.35 pg018-bk01 2004-10-19 Mr. Le Luong Minh
ambassador = A-59-PV.43 pg016-bk01 2004-10-27 Mr. Le Luong Minh
ambassador = A-59-PV.44 pg005-bk01 2004-10-28 Mr. Le Luong Minh
ambassador = A-59-PV.79 pg003-bk01 2005-01-19 Mr. Le Luong Minh
ambassador = A-60-PV.28 pg013-bk01 2005-10-06 Mr. Le Luong Minh
ambassador = A-60-PV.32 pg021-bk01 2005-10-13 Mr. Le Luong Minh
ambassador = A-60-PV.45 pg007-bk04 2005-11-08 Mr. Le Luong Minh
