minorityvote = 118/9/33/25 A-53-PV.79 pg013-bk02 1998-12-04 Draft resolution G was adopted by 118 votes to 9, with 33 abstentions ( resolution 53/77  G).
minorityvote = 91/10/54/33 A-54-PV.83 pg030-bk02 1999-12-17 Draft resolution IV was adopted by 91 votes to 10, with 54 abstentions ( resolution 54/179 ).
minorityvote = 11/71/41/62 A-51-PV.43 pg019-bk03 1996-10-29 The amendment was rejected by 71 votes to 11, with 41 abstentions.
minorityvote = 15/16/65/96 A-61-PV.2 pg015-bk02 2006-09-13 The recommendation contained in paragraph 52 of the report of the General Committee was rejected by 16 votes to 15, with 65 abstentions. 
minorityvote = 103/17/25/40 A-49-PV.90 pg007-bk02 1994-12-15 The motion was adopted by 103 votes to 17, with 25 abstentions.
minorityvote = 88/21/60/22 A-60-PV.64 pg023-bk04 2005-12-16 Draft resolution IV was adopted by 88 votes to 21, with 60 abstentions ( resolution 60/173 ).
minorityvote = 99/21/56/16 A-61-PV.81 pg025-bk02 2006-12-19 Draft resolution I was adopted by 99 votes to 21, with 56 abstentions ( resolution 61/174 ).
minorityvote = 66/22/78/19 A-50-PV.99 pg019-bk02 1995-12-22 Draft resolution XI was adopted by 66 votes to 22, with 78 abstentions ( resolution 50/198 ).
minorityvote = 65/23/70/27 A-49-PV.94 pg025-bk04 1994-12-23 Draft resolution V was adopted by 65 votes to 23, with 70 abstentions ( resolution 49/200 ).
minorityvote = 62/25/84/14 A-51-PV.82 pg025-bk04 1996-12-12 Draft resolution VIII was adopted by 62 votes to 25, with 84 abstentions ( resolution 51/113 ).
ambassador = S-PV-4087 pg021-bk02 2000-01-10 Dr. Stamps
ambassador = S-PV-4717-Resu.1 pg012-bk02 2003-03-12 Mr. Chidyausiku
ambassador = A-58-PV.6 pg033-bk02 2003-09-22 Mr. Chidyausiku
ambassador = A-58-PV.25 pg024-bk01 2003-10-07 Mr. Chidyausiku
ambassador = A-58-PV.34 pg023-bk01 2003-10-16 Mr. Chidyausiku
ambassador = A-58-PV.46 pg020-bk02 2003-10-28 Mr. Chidyausiku
ambassador = A-58-PV.54 pg016-bk02 2003-11-04 Mr. Chidyausiku
ambassador = S-PV-4896-Resu.1 pg007-bk04 2004-01-19 Mr. Chidyausiku
ambassador = A-59-PV.19 pg019-bk01 2004-10-04 Mr. Chidyausiku
ambassador = A-59-PV.36 pg010-bk01 2004-10-19 Mr. Chidyausiku
ambassador = A-59-PV.44 pg016-bk01 2004-10-28 Mr. Chidyausiku
ambassador = A-60-PV.45 pg023-bk02 2005-11-08 Mr. Chidyausiku
ambassador = A-60-PV.89 pg003-bk02 2006-06-08 Mr. Chidyausiku
ambassador = A-60-PV.91 pg006-bk06 2006-06-28 Mr. Chidyausiku
ambassador = A-61-PV.50 pg025-bk02 2006-11-08 Mr. Chidyausiku
ambassador = S-PV-5481 pg032-bk02 2006-06-30 Mr. Chidyavsiku
ambassador = A-61-PV.4 pg003-bk02 2006-09-14 Mr. Goche
ambassador = S-PV-4129-Resu.1 pg019-bk02 2000-04-18 Mr. Jokonya
ambassador = S-PV-4143-Resu.1 pg009-bk02 2000-05-17 Mr. Jokonya
ambassador = S-PV-4172 pg019-bk02 2000-07-17 Mr. Jokonya
ambassador = A-55-PV.56 pg020-bk01 2000-11-09 Mr. Jokonya
