pdfc = A-54-1
pvref = 2000-04-14|S-PV-4127|pg012-bk01-pa08
pvref = 1999-10-06|A-54-PV.27|pg006-bk01-pa01
pvref = 1999-10-06|A-54-PV.27|pg024-bk01-pa08
pvref = 1999-09-24|S-PV-4048|pg013-bk02-pa01
pvref = 2000-09-15|A-55-PV.16|pg001-bk04-pa21
pvref = 1999-09-11|S-PV-4043-Resu.1|pg021-bk06-pa06
pvref = 1999-11-19|A-54-PV.59|pg019-bk01-pa02
pvref = 1999-10-21|A-54-PV.37|pg011-bk01-pa14
pvref = 1999-10-08|A-54-PV.32|pg011-bk02-pa13
pvref = 1999-10-07|A-54-PV.29|pg020-bk01-pa01
pvref = 1999-10-08|A-54-PV.32|pg004-bk01-pa01
pvref = 1999-10-07|A-54-PV.29|pg014-bk01-pa19
pvref = 1999-12-15|A-54-PV.80|pg005-bk02-pa05
pvref = 2003-05-13|S-PV-4753|pg014-bk04-pa04
pvref = 1999-10-08|A-54-PV.32|pg001-bk02-pa02
pvref = 1999-09-29|A-54-PV.16|pg001-bk06-pa05
pvref = 1999-10-07|A-54-PV.29|pg006-bk01-pa12
pvref = 1999-09-25|A-54-PV.15|pg006-bk01-pa05
pvref = 1999-10-11|A-54-PV.33|pg005-bk01-pa01
pvref = 1999-10-07|A-54-PV.29|pg001-bk02-pa02
pvref = 1999-10-07|A-54-PV.29|pg011-bk01-pa01
pvref = 1999-10-06|A-54-PV.27|pg022-bk01-pa01
pvref = 1999-10-11|A-54-PV.33|pg013-bk01-pa01
pvref = 1999-10-06|A-54-PV.27|pg015-bk01-pa18
pvref = 2000-01-10|S-PV-4087|pg013-bk01-pa04
pvref = 1999-10-06|A-54-PV.27|pg008-bk01-pa07
pvref = 1999-10-20|A-54-PV.35|pg021-bk01-pa07
pvref = 1999-10-11|A-54-PV.33|pg007-bk01-pa01
pvref = 1999-09-23|A-54-PV.11|pg016-bk02-pa22
pvref = 1999-09-20|A-54-PV.4|pg001-bk05-pa02
pvref = 1999-10-08|A-54-PV.32|pg013-bk01-pa01
pvref = 1999-10-08|A-54-PV.32|pg022-bk01-pa01
pvref = 1999-11-29|S-PV-4072|pg026-bk02-pa02
pvref = 1999-10-06|A-54-PV.27|pg011-bk01-pa08
pvref = 1999-10-11|A-54-PV.33|pg002-bk07-pa02
pvref = 1999-10-20|A-54-PV.35|pg010-bk01-pa11
pvref = 2000-03-09|S-PV-4109-Resu.1|pg002-bk05-pa03
pvref = 2001-11-14|A-56-PV.52|pg019-bk02-pa26
pvref = 1999-11-29|S-PV-4072|pg009-bk02-pa10
pvref = 1999-10-07|A-54-PV.29|pg014-bk01-pa01
pvref = 1999-10-08|A-54-PV.32|pg017-bk02-pa03
pvref = 1999-10-21|A-54-PV.37|pg011-bk01-pa06
pvref = 1999-10-07|A-54-PV.29|pg018-bk01-pa01
pvref = 1999-10-06|A-54-PV.27|pg001-bk02-pa02
pvref = 1999-09-29|S-PV-4049-Resu.1|pg002-bk04-pa02
pvref = 1999-10-06|A-54-PV.27|pg015-bk01-pa05
pvref = 1999-10-11|A-54-PV.33|pg008-bk01-pa02
pvref = 1999-10-11|A-54-PV.33|pg012-bk01-pa01
pvref = 1999-12-16|A-54-PV.82|pg001-bk07-pa02
pvref = 1999-09-29|A-54-PV.17|pg033-bk02-pa08
pvref = 1999-09-29|A-54-PV.17|pg001-bk04-pa02
pvref = 1999-10-20|A-54-PV.35|pg004-bk01-pa08
pvref = 2000-03-09|S-PV-4109|pg013-bk02-pa11
pvref = 1999-10-20|A-54-PV.36|pg020-bk01-pa17
daterangerefs = 1999-09-11 2003-05-13
