# THIS FILE IS AUTOGENERATED BY ./nationdatasucker.py EDIT THAT TO ALTER IT
"Name","Date entered UN","Date left UN","Country code","Country code (3 letter)","Continent (GeoIP)","missionURL"
"Afghanistan","1946-11-19","9999-12-31","AF","AFG","Asia / Middle East",""
"Albania","1955-12-14","9999-12-31","AL","ALB","Europe",""
"Algeria","1962-10-08","9999-12-31","DZ","DZA","Africa",""
"Andorra","1993-07-28","9999-12-31","AD","AND","Europe",""
"Angola","1976-12-01","9999-12-31","AO","AGO","Africa",""
"Antigua and Barbuda","1981-11-11","9999-12-31","AG","ATG","South America",""
"Argentina","1945-10-24","9999-12-31","AR","ARG","South America",""
"Armenia","1992-03-02","9999-12-31","AM","ARM","Asia / Middle East",""
"Australia","1945-11-01","9999-12-31","AU","AUS","Oceana",""
"Austria","1955-12-14","9999-12-31","AT","AUT","Europe",""
"Azerbaijan","1992-03-02","9999-12-31","AZ","AZE","Asia / Middle East",""
"Bahamas","1973-09-18","9999-12-31","BS","BHS","South America",""
"Bahrain","1971-09-21","9999-12-31","BH","BHR","Asia / Middle East",""
"Bangladesh","1974-09-17","9999-12-31","BD","BGD","Asia / Middle East",""
"Barbados","1966-12-09","9999-12-31","BB","BRB","South America",""
"Belarus","1945-10-24","9999-12-31","BY","BLR","Europe",""
"Belgium","1945-12-27","9999-12-31","BE","BEL","Europe",""
"Belize","1981-09-25","9999-12-31","BZ","BLZ","South America",""
"Benin","1960-09-20","9999-12-31","BJ","BEN","Africa",""
"Bhutan","1971-09-21","9999-12-31","BT","BTN","Asia / Middle East",""
"Bolivia","1945-11-14","9999-12-31","BO","BOL","South America",""
"Bosnia and Herzegovina","1992-05-22","9999-12-31","BA","BIH","Europe",""
"Botswana","1966-10-17","9999-12-31","BW","BWA","Africa",""
"Brazil","1945-10-24","9999-12-31","BR","BRA","South America",""
"Brunei","1984-09-21","9999-12-31","BN","BRN","Asia / Middle East",""
"Bulgaria","1955-12-14","9999-12-31","BG","BGR","Europe",""
"Burkina Faso","1960-09-20","9999-12-31","BF","BFA","Africa",""
"Burundi","1962-09-18","9999-12-31","BI","BDI","Africa",""
"Cambodia","1955-12-14","9999-12-31","KH","KHM","Asia / Middle East",""
"Cameroon","1960-09-20","9999-12-31","CM","CMR","Africa",""
"Canada","1945-11-09","9999-12-31","CA","CAN","North America",""
"Cape Verde","1975-09-16","9999-12-31","CV","CPV","Africa",""
